Date,Advisory,Patch commit(s),Affected by CHERI kernel,,,,,,,Can unpatch?,Local / Remote,Overflow,DoS,Exec,Disclosure,"Corrupt
Memory",Not memory safety bug,"Arch
Specific",UaF (UMA/kmalloc),"Race or
TOCTTOU",Priv Escalation,Affects network stack,NULL ptr dereference,NOTES,History
,,,PTR provenance,PTR integrity,Bounds Checking,PTR perms,Temporal,Subobject,Does not help,,,,,,,,,,,,,,,,
2022-08-09,FreeBSD-SA-22:11.vm,5c50e900ad779fccbf0a230bfb6a68a3e93ccf60,,,,,,,X,,local,,,,X,,X,,,,X,,,"vm_fault_copy_entry() fails to remove other existing mappings in the same conditions as SA-21:08. Under the same conditions vm_fault_copy_entry() fails to remove other processes mappings, leading to memory disclosure.",
2022-08-09,FreeBSD-SA-22:10.aio,45c2c7c484de7747014492b17ff89e323ee66496,,,,,T,,T,,local,,,,,,,,X,,,,,Failure path in aio_aqueue() leads to ucred structure reference count leak. This can be used to overflow the ucred reference count and cause an use-after-free. The ucred is kmalloc allocated. CHERI temporal safety may help with avoiding memory reuse.,
2022-08-09,FreeBSD-SA-22:09.elf,00d17cf342cd9f4f8fd1dcd79c8caec359145532,,,X,,,X,,,local,X,X,,,,,,,,,,,Core dump logic does not correctly handle sbuf with length 0 or -1 from proc_getargv(). I believe that the unhandled -1 case would cause an unbounded kernel read in memchr overflowing the psinfo->pr_psargs buffer. In this case CHERI subobject bounds would also apply.,
2022-04-06,FreeBSD-SA-22:08.zlib,zlib.patch 5c44459c3b28a9bd3283aaceab7c615f8020c531 4346a16853e19b45787ce933666026903fb8f3f8,,,,,,,X,Probably hard,local,X,X,,,X,,,,,,,,"Reported originally in zlib CVE-2018-25032, it was re-evaluated in 2022. Zlib is used in some kernel modules and by the ELF loader. There is an overflow in zlib that appears to involve a buffer that is shared among different data. The same malloc allocation is used for different buffers, invalid arithmetic manipulation can result into memory corruption into the other internal buffer. There is no indication that the overflow may go beyond the allocated buffer, so CHERI does not help in this case. Sub-object bounds can not help because the buffers are shared manually using pointer arithmetic, without ever taking a sub-allocation pointer that can be bounded by the compiler. There is no indication that this may cause a kernel code exec, as the corrupted buffer should not contain pointers. Discussed here, here, here and here",
2022-04-06,FreeBSD-SA-22:07.wifi_meshid,fb8c87b4f3bfdfac014f9d894fe75fbad0391b24,,,X,,,,,Easy,remote,X,,X,,X,,,,,,X,,The ieee80211_parse_beacon() fails to validate the mesh ID length. The sta_add() function should be called to process the beacons from the scan. Here the meshid is copied to a fixed-length buffer in `struct sta_entry` in the parent `struct ieee80211_scan_entry.se_meshid`. The `struct sta_entry` comes-from kernel malloc. This leads to unbounded kernel memory write. CHERI protects from this.,
2022-04-06,FreeBSD-SA-22:06.ioctl,8276c4149b5fc7c755d6b244fbbf6dae1939f087,,,X,,,,,,local,X,,,,X,,,,,,,,"The mpr, mps and mpt drivers contain errors in handling *_CFG_PAGE IOCTLs. A buffer with user-controlled size is then used as target of a fixed-size copyin(), leading to possible overflow of kmalloc buffer. E.g. MPRIO_READ_CFG_PAGE allocated the user-controlled mpr_page buffer with user-controlled length. The ioctl handler then proceeds to copy sizeof(MPI2_CONFIG_PAGE_HEADER) bytes into it, leading to a potential overflow.",
2022-04-06,FreeBSD-SA-22:04.netmap CVE-2022-23084,393729916564ed13f966e09129a24e6931898d12,,,X,,,,,Easy,local,X,,,,X,,,,X,,X,,Total size of nmreq is computed and then trusted for the copyin() in nmreq_copyin(). This is a time-of-check-to-time-of-use error as the user may change the nmreq structure leading to kernel memory corruption via overflow of the allocated buffers. CHERI would not remove the TOCTTOU but mitigate the overflow.,
2022-04-06,FreeBSD-SA-22:04.netmap CVE-2022-23085,694ea59c7021c25417e6d516362d2f59b4e2c343,,,X,,,,,,local,X,,,,X,,,,,,X,,"User controller integers in nmreq_copyin() are used to compute buffer sizes without checking whether they would overflow. Integer overflow of optsz and bufsz could result in buffers too small for the requested operation, overflowing kernel-malloc memory via copyin(). CHERI stops this.",
2022-03-15,FreeBSD-SA-22:02.wifi CVE-2020-26144,ffc19cf52da5546973965f78cf32aa0f2c9657f8,,,,,,,X,,remote,,,,,,X,,,,?,X,,Prevent plaintext injection via A-MSDU EAPOL frames. This does not seem to involve CHERI.,
2022-03-15,FreeBSD-SA-22:02.wifi CVE-2020-24588,f024bdf1155f36d2d8c4caa533b66e4040c4c469,,,,,,,X,,remote,,,,,,X,,,,?,X,,Prevent A-MSDU aggregation attacks. This does not seem to involve CHERI.,
2022-03-15,FreeBSD-SA-22:02.wifi CVE-2020-26147,11572d7d7fb9802ceb46ea9dc6cbe3bb95373e55,,,,,,,X,,remote,,,,?,,X,,,,,X,,Prevent mixing of plaintext/encrypted fragments. This does not seem to involve CHERI.,
2022-01-11,FreeBSD-SA-22:01.vt,dbc7ca59451561a179f9852642e13ef024169d84,,,X,,,,,Feasible,local,X,,,,X,,,,,,,,Failure to enforce bounds when redrawing the screen involving scrolling and highlighted text in the vt driver results in overflow of the `struct vt_device` `vd_drawn` `vd_drawnfg` and `vd_drawnbg` buffers. These buffers are statically allocated and should be bounded in CHERI.,
2021-05-26,FreeBSD-SA-21:11.smap,91aae953cb807d6fb7a70782b323bf9beb60d7c9,,,,,,,X,,local,,,,,,X,amd64,,,,,,"Fault handling during copyin/out fails to correctly handle Supervisor Mode Access Prevention (SMAP), leaving it disabled if the fault is invalid. This results in running kernel code handling the error from copyin/out with SMAP disabled which may be chained with other errors to exploit the kernel.",
2021-04-06,FreeBSD-SA-21:10.jail_mount,2425f5e9128102c8e6e473567ad6759a55be5b02,,,,,,,X,,local,,,,,,X,,,,X,,,"A jailed process can race the lookup for '..' to mount over the jail root filesystem, leading to access to filesystem outside the jail. Not sure how this is triggered exactly but it is a race unrelated to memory safety.",
2021-04-06,FreeBSD-SA-21:09.accept_filter,653a437c04440495cd8e7712c7cf39444f26f1ee,,,,,T,,T,Easy,local,,,,,,,,double free,,,X,,"If an accept filter is configured on a socket and the accept filter supports the accf_create callback, the filter name parameter is preserved in `struct socket.sol_accept_filter_str`. The accept_filter_str buffer is freed immediately after leaving a dangling pointer in sol_accept_filter_str. This leads to use-after-free of the string buffer from kmalloc or potentially a double-free.",
2021-04-06,FreeBSD-SA-21:08.vm,982693bb729badac4e65ecd59772979f2849a2b2,,,,,,,X,Feasible,local,,,,X,,X,,,,X,,,"It might be possible that multiple processes share a mapping of read/write pages shadowing pages from a common ancestor process. In this situation, if one of these processes modifies memory in the mapping, the CoW logic fails to invalidate all the other mappings of the source page in the other address spaces. This results in the source page remaining accessible to the other processes even after the source page is deallocated and reused by other processes or the kernel. CHERI does not help here because it is a page handling error.",2021-04-13: Added KASAN kernel option
2021-02-24,FreeBSD-SA-21:06.xen,808d4aad1022a2a33d222663b0c9badde30b9d45,,,,,,,X,,local,,X,,,,X,,,,,,,Xen grants allow shared memory operations across domains. Grant mappings are generally done in batch hypercalls. The FreeBSD backend driver mishandles grant mapping requests in batch operations. This may result in resource leaks as some successfully mapped grant requests get lost and can no longer be unmapped.,
2021-02-24,FreeBSD-SA-21:05.jail_chdir,d4380c0cdd0517dc038403dd5c99242ce78bdeb5,,,,,,,X,,local,,,,,,X,,,X,X,,,A process such as jexec or killall attaches to a jail using jail_attach(). An oversight in jail_attach() relies on the caller to ensure that the current working directory is inside the jail. A jailed root process may race to attach to the jail-entering process via ptrace and gain access to directories outside the jail.,
2021-02-24,FreeBSD-SA-21:04.jail_remove,cc7b73065302005ebc4a19503188c8d6d5eb923d,,,,,,,X,,local,,,,,,X,,,X,X,,,Race condition in jail_remove() may lead to the syscall failing to kill all jailed processes in the target jail. A privileged process that escapes termination in this way may race to access devfs nodes unrestricted if a new jail is created with the same root path. This occurs because there will be a window between devfs being mounted into the jail and the jail ruleset being applied to the jailed devfs. A process may escape the jail by racing to fork() while jail_remove() attempts to kill the jail.,
2021-01-29,FreeBSD-SA-21:02.xenoom,4e4e43dc9e1afc863670a031cc5cc75eb5e668d6,,,,,,,X,,local,,X,,,,X,,,,,,,"A guest can run the xen backend out of memory by spamming watch events, which are handled by FreeBSD from a single thread and queued while waiting for the thread to handle the event.",
2021-01-29,FreeBSD-SA-21:01.fsdisclosure,599f90446376370eb365a0fde857ea2b5766873a,,,,,,,X,Easy,local,,,,X,,,,,,,,,Uninitialized bytes in the dirent structure are not cleared in msdosfs. This leads to a leak of uninitialized kernel data via VOP_READDIR. CHERI does not help because this involves inner struct padding.,
2020-12-01,FreeBSD-SA-20:31.icmp6,d9999ae9ca1d022bfac4d8834ce9a9e7929bbdae,,,,,T,,T,,remote,,,,,,,,X,,,X,,icmp6_notify_error() handles routing options (IPPROTO_ROUTING) and potentially extracts a pointer into the mbuf to the destination in6_addr. The options memory may be freed at a later point but the pointer is then used in the `struct ip6cltparam` which is later processed. The free may occur due to m_pullup from a fragment ext header or within the next protocol pr_ctlinput (this does not seem to occur in practice but the pointer to the final destination address is unstable). CHERI can likely do something for UMA UaF.,
2020-09-15,FreeBSD-SA-20:29.bhyve_svm,101d5b527a5274b44c1354f9c6a31960e7007a69,,,,,,,X,,local,,,,,X,X,amd64,,,X,,,"Bhyve does not intercept some guest instructions that bypass nested page table translation, allowing a guest to take control of the host address space.",
2020-09-15,FreeBSD-SA-20:28.bhyve_vmcs,09860d44e4f52ea4b77051fb988bcffa221d0a59,,,,,,,X,,local,,,X,,,X,amd64,,,X,,,Incorrectly expose VMCB /VMCS fields for write access to root/jailed users breaks bhyve.,
2020-09-15,FreeBSD-SA-20:27.ure,0b39e3448aeace003ccdbcc54a32662e673c3131,,,,,,,X,,remote,,,,,,X,,,,X,,,"Error in handling packets in ure USB driver erroneously cap packet size at 2048 bytes within a single USB transfer, even though the actual transfer size is larger than 2048 bytes. This causes a single large packet to be interpreted as multiple packets. CHERI doees not seem to help with this issue.",
2020-09-02,FreeBSD-SA-20:25.sctp,f5d30f7f76067fa53901af94d92f27781d911521,,,,,T,,T,,local,,,,,,,,X,,,X,,UaF triggered by sending a large message from 2 threads on the same socket. ,
2020-09-02,FreeBSD-SA-20:24.ipv6,e7a541b0b99622dcce21fb087da016a948fcbb60,,,,,T,,T,,local,,X,,,,,,mbuf,,,X,,Hop-by-Hop IPv6 options over loopback interface are not handled correctly. ip6_input_hbh() may modify the mbuf chain via m_pullup() invalidating old pointers via ip6_hopopts_input(). This would result in ip6_input() (the original caller of ip6_input_hbh()) to use a stale pointer for the mbuf data. CHERI temporal safety might help catching this but the stale data in ip6_input() may remain a probelm.,
