# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9401614781     6691972417  8200927790          19401493         18512965             1915033492 
   24365792880    15654623238 20278440419          55577190         52429676             5198991925 
   24229053808    15568353163 20165363609          55355094         52225342             5173115472 
   24186284967    15553863798 20166541686          55331758         52183273             5176518256 
   24214290423    15573581834 20199703102          55450097         52275673             5207041965 
   24267347589    15627378924 20235828823          55615120         52457904             5183650247 
   24523937560    15782428234 20469393433          56226536         53004417             5280026789 
   23360000253    15338233053 19458347492          49936763         47164723             4736104047 
     468754255      371714567   398574210            567493           557817               17466926 
       3793848        2602984     3091138              2517             2379                 296296 
