# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5376902192     4825194284  5173642617           7652754          7440013             1085109980 
   22286838572    16062803200 19145087282          44821405         43029353             4903227634 
   24286315306    17590284639 20995898478          50767776         48599141             5215255356 
   24441855096    17701265317 21106778212          51014642         48841392             5255824339 
   24164925490    17545383364 20909154055          50491701         48359231             5191794732 
   24394578699    17673083092 21107162520          51112305         48923066             5258096924 
   24472847291    17783579829 21168989998          51188390         49026375             5257388928 
   24427653354    17741075251 21129171525          51114572         48971256             5251104668 
   12034005868     8770549969 10219246373          21156302         20297701             2236934787 
       3992773        2596538     3150001              2970             2832                 340438 
