# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6651507453     5629317309  6310899041           9152354          8888388             1718771561 
   23614076117    16700470944 20272404886          51726448         50580553             6537966139 
   24217601450    17225907606 20867235822          53460465         52177415             6594778149 
   23436482556    16728670685 20195658284          51858556         50646363             6369161317 
   23932752565    17092041445 20637783614          52934557         51683508             6542270323 
   24124410990    17223712007 20827110858          53230685         51975540             6545831968 
   23958264050    17082010139 20647842150          53098620         51850377             6518684967 
   24024535495    17147535365 20701035971          53212913         51955228             6546466780 
    6080004955     4343946018  5070973892           9683301          9390606             1339285577 
       3448021        2339050     2802164              2198             2099                 293270 
