# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   17853745883    21048334040      14221743 4862362888  9011196030          7722514           67118461         19347827 
   22296369796    28503813132      15552181 6578202229 12639325506          9022217           58044018         21414731 
   21022846524    26397269772      18332719 6050441705 11605696984          8105774           66246300         20999905 
   20141259738    25256189449      20903427 5781276024 11107743289          8219546           73660540         20721264 
   21314114934    27157311516      20164555 6243295714 12016362885          8726687           72063681         21872411 
   20527406787    25586537409      21263759 5847947962 11235484978          8493798           74333386         21485336 
   20788680223    26144551702      21752474 5990148650 11514287783          8642538           76014211         21775582 
   20643387242    26819098549      21643797 6184365617 11933665113          8871580           76797141         21445307 
   21361437082    27222857988      20957274 6260890778 12058165406          8677884           73382971         22018733 
   21049437090    26698715306      21329476 6126593096 11800492531          8675272           74277805         21709497 
   21355987105    27363892518      21028406 6293958711 12124902836          8949388           74831693         21984610 
   20835338770    26507170749      20740745 6084712005 11715491579          8733905           73499376         21587859 
   21011728390    26622825563      21430282 6105734343 11753341509          8597148           75103062         21647461 
   22066634809    28680335038      20653886 6622997800 12775207742          9000669           73598398         22217376 
   21340499094    27333985810      19196200 6282652387 12095032406          8716765           69147251         21898556 
   21201830000    26813904205      18504027 6139962128 11801421239          8077672           65190510         21400213 
   21131318750    27664742924      21114277 6395032833 12360513219          9127097           75986336         21648268 
   21217319139    27464046198      21999365 6336086188 12232679949          8994552           77696995         21821677 
   21817579811    27488184485      19416696 6303338111 12124359032          8557100           69058584         22178642 
   20812835173    26897258013      20549641 6191541528 11945560026          8813477           73678036         21606738 
   21278819865    27375927014      22489565 6306890283 12156088762          9024208           79200461         22055152 
   21992863391    27560786539      18434532 6315631958 12116321942          8427275           65810806         22336468 
   21750993986    27582041516      19783515 6344490478 12197873738          9004286           72097969         22731796 
   21898679738    28433358209      20971883 6567599993 12674848944          9245359           76335306         22627156 
   21810946667    28167084635      17886357 6491290058 12503453017          8573100           64945389         22002611 
   21303311923    27698456796      21576928 6389139816 12338841252          9047222           76815118         21797020 
   21695036898    27991323144      20760751 6446538880 12437074000          8806520           73091039         22136653 
   21766666528    27668680035      18934975 6355560423 12233168946          8848889           68443592         22267099 
   21740464698    28215575724      21246514 6516361599 12583974151          9096855           75626836         22139873 
   21385225712    27414579645      19795710 6305215871 12142614368          8627284           70378828         21806444 
   21871823768    28097184096      19149581 6462113239 12452253425          9019230           69463162         22371955 
   21662360103    27651464906      20363186 6357470465 12249521107          8806168           72092498         22137800 
   21547942471    27559994679      21388623 6338472747 12220703460          9005889           75814605         22309842 
   21034869732    26599350612      22445466 6101641244 11750808629          8998969           78823303         22141340 
   21571795404    27335418621      21662437 6274138383 12086067419          8932048           75775791         22516842 
   21708814219    28180459081      21590827 6508220738 12570922188          9257978           77272574         22335853 
   21418783367    27092664586      21984090 6218029570 11974327773          9035516           77038961         22400127 
   21721760388    27983077481      21323577 6445109132 12434220499          9124516           76396270         22252208 
   15035005303    16733093267      22902467 3751142931  7121598135          9708996           79318644         20657722 
