# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   17449746532    20673795985      17742678 4799060117  8577586506          8667678           79856304         24426801 
   22754467678    28048029898      22892858 6456904899 11032279305          9592315           81736125         26511583 
   22355924616    28394644957      18422252 6534212352 11265477816          8873378           67589606         26191547 
   22006079493    27946130265      19767251 6434121713 10977898659          8808508           70204413         26154103 
   23442644233    30115525179      20063557 6968648583 11841868299          9390592           72753862         28043137 
   22199419149    27959398913      19363749 6430171098 11086471351          8940444           68932540         26653794 
   22944574706    29279526352      19983683 6761957778 11549307663          9308186           71812671         27573891 
   22403926349    28555757409      18885870 6586449905 11306469984          8993189           67892563         26888139 
   22586578895    28881968323      19769039 6662356209 11384168856          9137300           70449768         26984592 
   22638365561    29076078172      20189403 6724187739 11467714626          9173234           71975362         27108920 
   22892019043    29210407583      19816077 6740954663 11477635676          9152327           70542229         27325085 
   22668835577    29021051207      20185851 6704146689 11424250648          9233183           71817562         27296488 
   22924077644    29344992098      19549665 6787050526 11539178961          9152582           69765663         27484884 
   22585738197    28547590797      19471994 6579736111 11267173235          9100257           69454201         27205117 
   23288842490    29833780378      19967453 6894626786 11779210111          9409302           71578410         27915902 
   22264807945    28121592870      17653250 6460086952 11032061272          8639236           63118893         26507329 
   23414247944    30105524158      19723849 6961818023 11849095789          9429607           71219241         28059723 
   23269552706    29933524862      21277394 6931159646 11717653100          9533655           76104681         27978698 
   23350828761    29678004027      20198075 6852492198 11734922228          9448945           72459631         28219774 
   23159816838    29639083910      19041990 6844529018 11562096937          9198107           68781708         27752598 
   22883180485    28982922956      19681090 6693164043 11580532005          9339702           70744368         27747990 
   22495115679    28212156657      17621978 6468834020 11131156042          8745293           63715484         26864845 
   23188766337    29743198968      19158800 6883498765 11766166996          9288742           69640581         27747942 
   22993841613    28911895120      18067699 6632713606 11409377284          9051592           65904043         27670103 
   22852473647    28841632799      18741788 6640498549 11448230678          9201624           68248390         27823422 
   23817256639    30743942023      18781208 7124307831 12140035744          9495723           68606637         28547479 
   23469360946    29855598100      20220889 6898289757 11790588141          9458394           72363136         28295886 
   23196636759    29847287256      19081370 6895532018 11727200198          9279230           69290625         27675342 
   23169413858    29774411925      19247035 6880973816 11779487429          9181415           69312487         27694511 
   22514577461    28476707167      19009987 6550635710 11328176599          9034845           68596203         27180110 
   23363991704    29928766919      18723786 6908954805 11781903383          9209145           67299915         27768678 
   23159149999    29783298541      19248137 6890920179 11810829334          9264193           69804391         27858584 
   22950963617    29598390983      17680984 6830935813 11568392424          8820415           64129993         27024764 
   22534679085    28738292024      17521859 6603271058 11321029633          8726310           63934160         26606892 
   23062400121    28880566358      20050155 6643028301 11375979748          9259442           71723953         27985785 
   23444462493    30210355926      19011718 6982884754 12069750721          9454329           69723768         28032574 
   22718911808    29045121931      17854520 6688992673 11426634397          8871191           64803476         27041847 
   23000581866    29486852665      17917160 6799599939 11701886380          9087665           66016633         27571307 
   18138806345    20446891072      22167328 4612106046  7938721896         10742114           78904299         27795015 
