# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   16610033016    19583040329      23726745 4506702768  8150037977         10989903           97663770         27314526 
   23289288046    27631726215      28568190 6272064432 10838398588         12005892          101361483         30805543 
   22931539815    28459348048      26899529 6490414461 11217832834         12083642           94849307         31587946 
   23215565009    29067055946      26328961 6646365275 11513972245         12194698           93010350         31922268 
   22434775677    27628614807      24940508 6283061772 10943036142         11791135           88510046         31342479 
   22272951035    27285834724      24219502 6192644673 10832602100         11775372           86538498         31391477 
   23217129850    29362654332      25923928 6729603957 11653286494         12210350           92137656         32211442 
   22952459766    29304545244      24916345 6722442588 11491938326         12015302           89165592         31613312 
   22321797175    27256418981      22640536 6178125635 10922107432         11337290           81562648         31066278 
   23039731160    28741632449      24628231 6550682000 11359974005         12074346           87890964         32048529 
   23329637213    29555731327      26377842 6775737351 11638240731         12354391           93487155         32552660 
   22692148079    28114592306      24228703 6399593423 11148391090         11797484           86349066         31647125 
   23873429350    30396566809      27119094 6982383632 11902347338         12611160           96082382         32947257 
   21814483741    27121748455      21246170 6160236259 10662737439         10937651           76048681         29907904 
   23161348266    29424603819      25834940 6748691848 11667861208         12214181           91145377         32143609 
   22781566779    28548584876      24877963 6516151218 11299895639         11917798           87697952         31478769 
   23266070756    28956844506      25171390 6609467513 11469691800         12116391           89722533         32434761 
   23368502145    29204248871      26348725 6673258228 11538261207         12358751           93368967         32681939 
   22684327426    28002687199      23634971 6367727990 11158204726         11851635           84744620         31671195 
   23338551059    29379632518      25826309 6719563271 11511928243         12204446           91503966         32401636 
   23021388561    28665970130      24509300 6534986561 11376729823         12017220           87056872         32063565 
   22947369293    28692160442      23550772 6544479670 11358692385         11846059           84405319         31894582 
   23308306712    29508189139      25223187 6758669195 11686613328         12228422           90050232         32446993 
   22943692292    28701791507      24842733 6552299665 11290439229         11925944           87823915         31854103 
   23129887864    29276894011      23145177 6700871786 11477690547         11651428           83054885         31593095 
   23230290941    29215204785      24887690 6675767003 11464717313         12196908           88392113         32080564 
   23198321790    29387697530      25678495 6739406408 11691272521         12158725           90961340         32107715 
   22972859898    28819371087      23727775 6579463789 11339588395         11859015           84681309         31604320 
   23046650865    29030781994      25727778 6643147218 11496790282         12052855           90640884         31964321 
   23122720728    28599032463      25914321 6513452533 11313149815         12357461           92200493         32601941 
   23163222745    29067546604      24771869 6642378721 11521344631         12097616           88330631         32299041 
   23351698133    29294757558      24284899 6694602767 11533368856         12120145           87046631         32671113 
   23137545144    28986196202      24656645 6618035850 11376408472         11955264           87857867         32045620 
   23195016029    29487331045      24515474 6749671144 11604868726         11991440           87774032         32016619 
   22876798478    28343854165      24665005 6456812449 11154257280         11829939           87459909         31676921 
   23686291697    30349113954      24728977 6969736497 11959431685         12223824           88677623         32346736 
   23020092952    29092541004      24975427 6662132279 11518697450         12050710           88722971         31857672 
   22836165012    28418083994      23828926 6477595987 11225180530         11619137           84920065         31621425 
   22890415204    28234383415      23317853 6417582188 11290338062         11958395           84028717         32113142 
   12509729643    12541836969      23117901 2677109212  4804001949         11179467           81383630         25790534 
       2412502        1629179         13783     416851      663870             2383              43672             9148 
