# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   16177626839    18961946646      25367701 4378896139  7887876837         10125829           97352446         25347373 
   24663864037    28951279860      29605426 6591592973 11466638010         12339479          103778506         32087292 
   24030034165    29945810315      27068652 6868330517 11830134850         11976574           93844217         31522946 
   23231296095    29024961844      23916819 6641434256 11445042170         11220138           82826482         30581503 
   24093663435    30479379583      24896453 7010424702 12066362397         11824381           86838855         31612820 
   23706453227    29772688895      25815713 6828102578 11593726302         11525049           87980651         31204217 
   24453938156    31332885166      25721148 7225490110 12344461444         11856849           88950325         31969872 
   23857625749    30075847988      24996964 6907056505 11809832135         11644473           86438655         31425079 
   23088911220    28562445652      23893591 6524690603 11337602418         11318963           83044763         31045785 
   21618449565    26065856773      21386071 5908005989 10369215548         10366720           74180450         29094823 
   23756354988    28758431750      25340406 6552586628 11777734729         11963953           89334537         32277023 
   24795362327    31214773959      27278647 7186124622 12521332698         12700430           94665554         33351296 
   23386146190    29319150049      24137792 6720518388 11582711657         11531880           83901918         31114064 
   22859182865    28627875826      21648832 6541997732 11246161605         10761318           75385644         29949100 
   24413526463    31094469109      26838863 7168006936 12323674561         12370880           93127993         32713721 
   24184389352    30388060102      26186485 6978627590 11990600169         11893981           90531873         32182355 
   23943822948    30194123708      24512935 6927542248 11979064083         11855680           85465357         31853512 
   23286268471    29057386911      24040442 6649341228 11436108789         11208161           83118514         30839102 
   23359494267    29373252314      24379741 6737118112 11618388226         11361872           83780352         30928860 
   23526555090    29514071136      23706058 6767502834 11759548725         11628562           82870352         31281980 
   24235980836    30070847398      24924873 6878572760 12002089250         12051503           86964358         32400585 
   23727528220    29503003163      23839789 6751836678 11637504756         11613473           82999276         31718753 
   23816502871    29677570799      24857956 6800045356 11727252138         11692231           86189160         31762952 
   24014058126    30452236882      25088243 7002418327 12068149601         11958831           87005523         31957494 
   23574025815    29645523084      24086186 6803194473 11740313857         11424232           83840688         31199603 
   23084691455    28513414454      23657454 6502391493 11303548922         11274338           82156937         30750996 
   24254076697    30234488718      25540540 6930000658 12228083184         12363888           89724596         32786280 
   22889263573    28134580047      22056385 6413634334 11094527656         11091252           76973127         30548020 
   23708473218    29999832900      24728931 6895720145 11964413316         11600706           85602401         31318661 
   24300282526    30785705691      24918533 7077829146 12203722788         12083690           86780929         32344480 
   23257157992    28825257501      23028753 6577178590 11405477196         11062953           79566301         30589338 
   23948046439    30140280451      24710798 6921653266 12032082113         12058655           86426522         32091431 
   23833227629    29758308791      23227379 6795187837 11612235773         11456828           81630642         31539300 
   24196453424    30279716566      25956234 6959690597 12128753325         12236926           90281041         32546968 
   24107564796    30574173241      24942233 7029924776 12025269593         11838629           87010366         31849641 
   24033086443    30042954316      24624479 6885000845 12021357097         12028915           85980731         32279872 
   23716781719    29279413830      23995819 6683228198 11591950026         11636946           84369891         31946619 
   21037761469    23928726351      29063291 5348243536  9335122111         14376631          100374917         34843309 
       2250342        1470125         13150     382627      605883             2128              37628             8107 
