# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   17469712664    20613045442   1042525628          178892475  9324296257             112108577           83259810   784343100             214787392 
   23888749523    28834878960   1911453155          253986950 13259713837             165832610          142358214  1138835640             392016800 
   24936615676    32221805763   1916919892          244997763 15060802959             159366809          143858101  1145075349             381089206 
   24005919076    31994020667   1810068804          224876493 15015561154             145903057          135789480  1073817499             354233109 
   23094276569    30321436563   1799342295          227451254 14121381403             149800863          135018944  1047535677             361322986 
   23931919685    31680048749   1831058103          227622495 14797202644             148766463          136978378  1069659274             363812762 
   23090006397    30283185709   1815765723          226097963 14104903772             148404154          134090402  1051441684             363426656 
   24668582974    32466797036   1891647963          235174177 15170395033             153038971          142337868  1107067108             372270154 
   23576870096    31325346609   1812144187          224023013 14624892823             146696765          133956394  1053654756             361646084 
   23401566969    30991196325   1808135970          223910256 14484834577             146895342          133724143  1054392275             360159001 
   23725700408    31171649678   1845608988          229857212 14515337080             150601024          138068133  1072974599             366476274 
   23777074959    31492002744   1831636591          228897749 14706610171             150625077          136294532  1068405175             364800509 
   23405813010    30694251618   1831590895          227474447 14301858242             149060597          134632059  1063236659             366683732 
   24015532528    31508525923   1862352285          231679242 14708160190             151095527          138669253  1086357660             368290186 
   24098769182    31665178976   1855283251          231342266 14796798310             150368227          141411167  1089064830             363714689 
   23285122731    30543375045   1802868079          226283922 14261123255             147680047          137282502  1057701737             356189165 
   22773444293    29956504277   1795987164          222304424 13989290215             144859458          133560117  1047448578             357503677 
   23519329087    31160332610   1825450172          226206743 14552767532             148520680          134375605  1061043764             364719989 
   23759314511    31314927644   1837781496          230470371 14600979530             151060265          136340529  1069762905             364989107 
   23773614013    31641060499   1833708479          225513348 14800898595             147351857          133322867  1067968171             366462792 
   23815939966    30721324347   1869004053          235684166 14304051903             153336845          143256067  1091974903             368076166 
   23348876950    30478896499   1845741044          229889208 14199100651             150273101          136656602  1074994855             368580359 
   23251962277    30485195240   1827489128          227437993 14223437258             149170913          135839718  1063353700             365056601 
   24366935071    32399822931   1855108812          230264339 15164908343             149619847          139715927  1092020739             362948498 
   22654459410    29575401856   1801619834          225143095 13767952406             148333161          134288588  1043675005             364097759 
   23933972470    31717805322   1841645790          225374117 14877739884             145789516          136641956  1083087900             361343428 
   23138586898    30307862710   1792463710          225253308 14141311950             146397557          136883549  1052131921             354044705 
   23106317241    30830073187   1768796294          219285600 14444075854             143154371          131508240  1032836301             350732971 
   23170149613    30475435575   1782712267          226005008 14198948310             148194116          133689236  1038873065             357385182 
   23672904618    31572748986   1821484916          224701580 14764498963             147176164          133428357  1057692633             363986153 
   23284784636    30803599583   1825119858          225505438 14385792928             148172898          132671856  1056533898             368332509 
   23310631375    30617660696   1832251637          226323087 14283729910             148575055          134104130  1061710811             367516263 
   23784995162    31096178147   1843125889          230161140 14504506874             149881062          137584063  1075630538             365521502 
   23029348805    29967955011   1824927115          228915811 13928240884             150193681          135068250  1053280759             367427328 
   24072287958    32075233977   1847146813          226777278 15001459946             147950115          134954709  1079290246             366510141 
   23514054688    31050614108   1835445286          227468982 14502804748             148943926          134018238  1067267662             366667644 
   23011393810    30277974212   1791374127          223485449 14103865508             146067461          134629454  1043170551             356744080 
   15103681778    17206475454   1262461013          170334091  7803234682             109320400          102970742   760062556             260208455 
       2027090        1344505        98779              18647      447534                  5714              20497      125545                 11949 
