# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   17022740542    19718643023   1002157877          178111404  9074070073             108592789           82956103   778808535             205624408 
   20793819831    26371357130   1640335405          213617533 12379642516             139809200          121772196   974319239             339678947 
   21311438328    25877930963   1765209341          227467097 12059139931             147448800          137830382  1043615194             359659675 
   19969922351    25032378314   1636359891          207269277 11754344549             132571618          132722360  1001599681             319554479 
   21293489791    26133563490   1785991397          227616680 12179614863             147440654          136161614  1055931527             366659420 
   21897321258    27860337533   1780053324          224197074 13075202052             144551305          136665709  1065841208             358038453 
   21671906815    27410167129   1790563903          227591651 12804177045             147948121          135735874  1056082708             364599918 
   20953682313    27189219420   1689011663          211041486 12808825445             135300494          136438268  1031530437             324799982 
   20942778278    26117722215   1739044273          219903078 12246232691             141290339          138339102  1046908916             341741474 
   21535429202    26620995727   1806502360          227502235 12454248336             146341000          141542569  1071306204             358400341 
   21398609509    26386130672   1779665417          227672299 12319659653             147459058          134615657  1052604499             365099062 
   22098564164    28153876358   1802440451          226207919 13214145838             146568255          139538382  1074310916             360096395 
   21201640958    26597907669   1751456641          220179066 12464596136             142133533          138385202  1048096145             346165351 
   21489817341    26359312784   1804959419          229836161 12304334400             148481586          138173541  1065783241             365012931 
   21009795071    26302439804   1740078255          218855536 12366221423             139771358          140399506  1059019199             335575429 
   20938324047    26606393456   1728117621          216694569 12486478629             139922312          137543413  1038675770             338032188 
   21961844663    26934549985   1841483397          231214864 12601536421             148029968          146384162  1103059834             361582277 
   20599122175    25274446877   1741008795          221313170 11799298390             142726007          137461166  1036836474             347014892 
   21070590215    26607645915   1734326434          218732491 12485165376             140867894          137591825  1042578251             339141229 
   21131061799    26133007215   1765703743          223595854 12233468401             144085353          138992476  1056946370             349424799 
   21560519246    26859054911   1782206752          224542607 12592057242             144398048          139319477  1065280881             352101208 
   21142072052    26187455842   1774639917          224206827 12246328250             144846561          141158098  1057998997             350536450 
   21322531145    26997483432   1750358848          219778362 12686992017             141461822          138253695  1054117133             343222543 
   21423385419    27026013024   1783899692          223370907 12662573146             144144109          140411897  1061662917             351882526 
   21768193717    27258305616   1805395667          227405622 12743889095             146893120          142231726  1076522755             358695682 
   20876302371    25706661717   1752281435          221813598 12006962073             143384565          138235498  1038237654             347232886 
   21243811887    26268513700   1776812411          224549903 12280612642             144696847          141884350  1062059339             350396060 
   21375657690    26688421693   1773110270          222640214 12519570884             143103297          140354517  1065824543             348377533 
   21396935705    26363793647   1782770572          226014410 12352108274             145024410          141048226  1074613889             351850727 
   21103622649    26134533678   1761927496          222289477 12237469569             143239603          138537397  1051401783             348837474 
   20735770004    25812923858   1732618660          218561705 12099907327             140468128          137262044  1039084836             341345500 
   21567380449    27298567325   1780830167          222685636 12812888402             143668121          140130650  1064228657             349558807 
   21462044112    26921159950   1775534090          223927191 12629963351             143875808          140673942  1069574169             349224574 
   21156207925    26174620379   1773263456          224328703 12232855882             145140860          139037906  1053571367             354350853 
   21041795595    26740012044   1735384133          217587475 12554061825             140784548          135739579  1036933058             342496676 
   21270105514    26577443968   1771347933          222555918 12459487836             143501869          141987164  1064727930             345777393 
   21294559877    26805514017   1759278019          221761239 12560120876             143551075          136829539  1046048933             349023990 
   20898936985    25815929081   1747231901          219912980 12098776093             141101167          141449175  1053151176             338935112 
   22284708757    27557048618   1861183953          234239900 12893229747             150716006          145286692  1105944264             368253984 
   12067818525    12099318226   1095322374          140118773  5588976140              83893313           93578060   686036574             220904382 
