# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   16929764895    19522678702    999669308          178796444  9106224634             109278430           85784843   816804993             201073981 
   23031989541    28656610893   1785509597          235058196 13544125274             152127969          145495008  1103719819             356000408 
   22948187551    28169210024   1789546583          239292726 13222128904             155115984          148593547  1096010569             356253714 
   23896441072    30231186334   1853240014          236497612 14309770390             150608319          149844955  1136163218             361080107 
   23670397850    30203191772   1862640697          237676176 14243110500             153245319          144710579  1124752334             370545076 
   22840218530    28545220955   1826030712          237511135 13356164255             154320305          142657724  1085188559             368665437 
   23112256251    28790055954   1844886671          237679078 13532897542             152879865          145677202  1114042979             366262572 
   23777416687    29571854793   1885132486          239167850 13939530386             151645014          151243830  1146243032             368383675 
   23509528126    29339364505   1867749754          238816471 13825658838             152671906          148047186  1131401991             368476036 
   23040946204    29039368240   1840936523          235788252 13666047744             151830519          143383093  1102443423             367005708 
   23621070675    29976016798   1871862798          239210562 14113948771             153951853          145824304  1126761972             372276807 
   23830156823    30440029729   1852762384          235683442 14373151974             150494591          147238866  1116853490             362600588 
   22946464699    28877051753   1821940644          234737535 13545705077             151388509          144983520  1090540733             361907212 
   23981348354    30708979762   1875975532          237425836 14506482975             151912242          147401451  1136129985             366705587 
   23518744408    29453968971   1853322480          240394761 13829798116             154321788          149076643  1114545206             366195662 
   23974735535    30640504797   1867319020          236458869 14465389596             151046383          148290613  1130447576             365207511 
   23449600768    29204945122   1875930048          240462881 13730294076             154400392          148545327  1128801200             371438793 
   23645398924    29913673180   1866906206          237398692 14105042320             152173869          146997413  1132910596             368639040 
   21366850995    25924434611   1771490652          233550987 12044682774             153388428          129503122  1038613690             374257731 
   24123361074    30367910777   1897736118          237191201 14378925866             149508447          148565868  1161363861             369786991 
   23551430102    29474004957   1867439388          240489755 13855926457             154199928          149780512  1126668890             367337932 
   23507091733    29706519228   1866541694          238665321 13947854260             153706855          146130064  1119068704             371445038 
   23513429838    29669845104   1871424305          238421135 13972337239             153268703          147538018  1129315838             371127298 
   23764615676    29940896086   1861390588          238637283 14115598676             151735019          150037310  1129822702             362951411 
   23783886834    29919183713   1867470946          240039212 14098416848             153807657          149615184  1125609310             365334280 
   21865395386    26635972611   1821488422          237346218 12388203808             154743712          141863555  1070494230             372589270 
   23509118562    29300759056   1890895383          237995180 13826656050             150963713          145067579  1147612014             374428507 
   24011845306    29640413913   1922686171          248165360 13909477512             158597118          151195433  1159168015             383268911 
   23824478203    30201083903   1873803350          238152553 14239891323             152396215          146303778  1130505292             370537422 
   25147538983    32477251181   1918166456          242469578 15352170179             154339492          152981810  1167107727             370392368 
   23544941202    29439211554   1878301825          240725114 13829526796             154675580          148825890  1125820781             371099669 
   24302083808    30561360740   1911756809          243598934 14404192582             155678406          151419653  1150323744             375107898 
   23356318645    29460930628   1865299257          240232389 13824614793             155855567          144453281  1109911590             375055036 
   23763925159    29986549142   1871902207          236866635 14140042558             151397416          146688429  1128048908             369221817 
   24007343494    30264092100   1905346795          244111397 14219954704             157217628          147280550  1141859855             380081524 
   23106906834    28808714471   1853836544          238065659 13530586381             153417759          142705051  1107654952             372877436 
   23036472068    28518485664   1865871933          239483390 13378838075             154550420          145856023  1114491496             371873572 
   23414464231    29553464099   1863417701          237905412 13914316351             152460115          146174868  1122150231             369438990 
   11849152644    12074734124    947456400          137953118  5564175222              85125899           84651398   628049677             192728435 
       2524647        1753178       119923              23517      572659                  7757              26394      147628                 15621 
