# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   11805142318    13046149799    411158280           96397831  6821238656              54482441           39974009   473907712              74276778 
   24383811963    25957726990   1535854429          217985093 13532588142             136687680          138195310  1013606972             295838342 
   23272571199    25432373980   1535421166          208000444 13201627906             130450662          131584098   984518234             297671907 
   25296069088    28511995657   1629916372          219428727 14840208327             137859077          137281235  1035541325             315176664 
   24831111312    27873621384   1663865149          221637877 14398853155             139024385          137753128  1049133798             323185543 
   24636537727    27451463530   1657316920          219251961 14170819310             136473028          136956972  1046865773             319978239 
   25283551710    28416439707   1646669712          215571829 14828836870             133254332          136953188  1045863373             313870562 
   24060427798    26491416308   1665126781          221493471 13618851607             139147843          137790212  1038789043             325640473 
   25358156110    28266997040   1681591188          221510742 14698222859             137464583          139772744  1066544519             321831267 
   24831870700    27709904305   1642294128          216490575 14408397282             134399214          136225634  1039694071             315157038 
   24628940393    27162606629   1635863994          217962602 14125215937             135904601          138537844  1031797573             314399352 
   23997559071    26504978970   1647569620          218153877 13663173146             135970128          136805819  1038055389             318960500 
   25159211788    27629523760   1695898755          224287499 14341008438             139139065          140822066  1072780712             325861135 
   24151249084    27052499134   1641024577          216080382 13967423106             134659639          134643945  1035270955             317948760 
   24735436502    27447689970   1657387417          219784651 14244739293             136727189          136867905  1047776910             319118554 
   24280510563    27237787808   1650364249          217607190 14047988595             135758242          134464501  1038608587             320495559 
   24449439685    27325458728   1650773107          217263900 14128738446             135251698          135311298  1040262460             319140037 
   23309295918    25609284558   1632642605          219103589 13127257065             138585866          132932520  1012700072             323237871 
   25643773762    28535048644   1699451351          221771890 14862855447             135799000          140606431  1090137643             322146347 
   24357925475    27156793460   1678508515          221028452 13959132292             138339607          136823428  1053774786             327932305 
   25113415869    27721710084   1678043128          222790499 14411210667             138951418          139170514  1054554380             323586853 
   24156336071    26616470276   1657517763          219962385 13742756394             137575693          137485112  1038283123             321544644 
   25246079930    28080403334   1677468984          220491799 14603937378             136537632          138939985  1066123500             320319927 
   24416354663    27239376003   1667158072          220168797 14035640689             137604783          136552793  1046359696             323967833 
   24551322090    27095074966   1695688645          225331269 13957070913             140949546          139314952  1066845945             329848117 
   25361831730    28215129021   1684647227          220914527 14666560489             137207039          139065065  1060678542             322252866 
   25166956754    28091012904   1670808445          219726945 14586916997             136697322          138535290  1053094188             320354391 
   24820082275    27432530371   1708827312          225333196 14151528829             140267727          139481428  1078454242             331400402 
   25044558049    27774235712   1681459547          222700376 14389211730             138972316          139522887  1057508434             324340218 
   24810785889    27631236938   1672239176          220611595 14306661660             137347783          136779005  1052533929             322266317 
   24477009458    27117229860   1696722573          225565757 13919831991             141546138          136911597  1063725799             332827883 
   25263179886    28230843155   1704764614          223786887 14613141923             138922821          139075045  1078323913             329194809 
   25197421307    27872357439   1691994235          223661344 14441541676             140066311          141498377  1058782378             325457069 
   23473675185    25508646624   1711783633          229623376 12926974288             145525416          136389587  1058516009             343033030 
   25513782010    28057625587   1752715714          230377990 14460944714             142272144          144734549  1120181083             335548309 
   25232671601    27881813960   1719676963          224932587 14426291341             139618656          141181094  1080869153             329663511 
   24976590588    27535987023   1731384758          230211817 14137721204             144102386          139566465  1089020949             339424577 
   25589545356    27964013136   1752419843          229314070 14472153782             141831716          144636255  1103251087             335330334 
   25763641918    28404907155   1748836076          230290870 14690155706             143183286          143879442  1104522658             336108432 
   24587056887    27107856458   1710813182          227073138 13937285640             142801372          139453862  1066205771             335070502 
   25368238439    27743490363   1735959983          228394985 14365929154             141470196          143003403  1097214161             333310150 
   25702552401    28632944281   1728493514          227932032 14811553840             142167033          139852194  1088810559             335138537 
   24649263515    26995644686   1707077597          226862836 13929416096             141531199          139257062  1074018170             331871983 
   22947632597    23128044022   1464119123          205200081 12389597476             126939136          124378399   968000915             291626204 
    3804589802     2763160994    121924622           24331908  1841988965              13533072           16187396   112189117              23353705 
       4006413        2649092       143802              25590     1499384                  8368              30847      154740                 17458 
