# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   16666485092    19376099797    979244183          174802997  9035376558             107449908           85841671   800757983             197792382 
   23119073360    26806074175   1791917337          244630823 12562193103             156381104          150697330  1118512384             357015110 
   24827312143    31349419310   1880467044          245558843 14826255801             156637161          155743319  1161582477             362436257 
   22885900256    28782701472   1821117769          232790823 13523932516             149380995          145061254  1094166539             360443295 
   23283583636    29492032736   1835399608          235313579 13869299552             151170167          147211462  1104190884             361784122 
   23062997840    29189642279   1803772465          229746095 13761550766             146703869          147196439  1088119327             351358953 
   22733586209    28533707457   1795957791          230480620 13423699524             147357036          147548654  1084446598             351352021 
   22906624436    29021240668   1812507048          231105806 13658169446             148392823          144557634  1089808382             358558465 
   23015725901    29364455612   1797371222          230346761 13815553296             148274133          145668619  1080432683             353465967 
   23572005827    30302438793   1844618222          232281074 14286372845             149185276          146198820  1104823479             362610831 
   23595877443    30260163243   1837558058          232887643 14253832414             149440588          147333820  1103594446             358839216 
   23119252692    29549182618   1823165967          232728669 13884434354             150697667          143754349  1087020554             363466530 
   23212853161    29807448842   1825256658          231741525 14028807795             149737329          143904044  1091076908             361263109 
   23610933012    29960605452   1864257372          234229259 14123565911             149998993          147060284  1118357104             367489850 
   23517307930    30065381017   1838342856          233140424 14149126880             150349388          146285296  1099655720             362373200 
   23124226828    28736564855   1856298782          240573427 13465544978             155551189          147532082  1103331354             371615698 
   22855283734    28325112741   1842706023          235589291 13296340014             151008094          147884117  1104672849             363780947 
   24299031830    30670775548   1883104296          238630135 14458738067             150733240          151779197  1145509445             365988783 
   23037068646    29180562062   1824420123          232168453 13710326578             149416970          144597738  1090027269             362516543 
   22570542989    28209126827   1802101368          232768530 13201923328             150094295          142247222  1078441118             364293209 
   22734996940    28451988269   1829509443          234673783 13344842391             151840445          139788532  1088417216             372743579 
   24496970861    30991580555   1914809608          238264414 14667670950             150470037          154451881  1162445557             368321244 
   22810206819    28594177743   1830450469          234473669 13415932896             151329669          146675266  1093482682             362065381 
   23585232530    30179433605   1833218696          231281482 14211826800             148255498          146671053  1101986914             358847063 
   22948490962    29379634518   1810021543          229510278 13816236304             148478974          141971913  1076012073             359120315 
   23346773537    28921547144   1884002049          240918988 13547907560             154568441          150897978  1126995059             372381787 
   22504211385    28423649802   1794283965          230651580 13324058154             149286662          139238491  1064625613             361960438 
   23435335725    29305745011   1873805941          238869854 13768876597             153337878          147734190  1123432833             371895890 
   24388317212    30958140190   1901950416          239491737 14604294723             152603606          151930362  1147461913             370103606 
   23510866666    29834343536   1860381235          235602278 14028663783             150969348          147500006  1116707571             367578212 
   23645074394    30101224949   1847131834          234653730 14159412712             151105684          146070153  1101498909             365495739 
   22099915503    26940920851   1815403365          236795289 12537292775             154449876          145880606  1071864767             367196058 
   24090094271    30798029600   1861571302          232211086 14576116064             146287596          147742339  1138328955             360792797 
   22501907104    28097204898   1811053001          230945516 13176156137             148424186          142716656  1080559022             361725551 
   23604129530    29674671415   1870297079          237808290 13943083131             152914909          149561969  1119427311             369308063 
   23609256150    29544587573   1860158285          238139048 13879952662             152629626          148443287  1115552788             368875504 
   23860247367    30098280141   1884799083          239217984 14127249261             153504810          148811942  1123447759             373139375 
   23136490332    28553658436   1862360016          240230237 13377955809             154683604          149577553  1114230883             369139104 
   21176940123    23462215264   1738981755          235329184 10867940195             147783354          146282151  1084331179             352775700 
        725125         229936        35628               7152      135613                  2818               8055       57573                  6163 
       2444947        2003130       122625              19873      493401                  5727              26699      121291                 16494 
