# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   17610356815    20706466298 21532716597             3449                 0            24674                  12846 
   23549428563    29307355335 30382962366             3002                 0            29623                   7550 
   23721291835    30317125348 31356213101             2912                 2            27682                   5210 
   24058070650    31402077717 32443988706             2674                 0            26730                   5528 
   24002018637    31426258101 32484048881             2529                 0            26849                   5201 
   23649815419    30665500566 31740744216             2861                 0            28448                   5070 
   23679975733    30893890282 31935881917             2521                 0            25526                   4339 
   23928592521    31433823664 32442718632             2352                 0            23936                   5385 
   23216558369    29845699790 30902797445             2474                 0            26856                   5664 
   23450653814    30251436621 31339943348             2426                 0            28256                   5045 
   23479092632    30375932995 31442418432             2610                 0            27563                   4791 
   24022060716    31253445432 32319240268             2423                 0            26657                   3984 
   24301777653    31437000466 32530737985             2609                 0            28242                   5760 
   23518010729    30127828282 31224493918             2700                 0            28507                   5654 
   24483304006    32003244125 33100712343             2506                 0            29125                   4997 
   23126549559    29767602193 30790252169             1926                 0            23226                   4082 
   24182018414    31500888995 32580418185             2648                 0            28552                   4771 
   23597604470    31138198507 32153247584             2485                 0            25567                   4461 
   24343972459    31877323612 32970508923             2641                 0            28775                   5657 
   23736134639    30752923698 31806623345             2456                 0            25418                   4052 
   23834422736    31197574476 32284450370             2531                 0            28753                   4530 
   23936621034    30934860209 31993497042             2598                 0            26117                   5263 
   24564290510    32017258873 33089053560             2395                 0            27282                   5194 
   23418957830    30140232042 31194542092             2495                 0            26525                   4750 
   23785647000    30733241782 31768639306             2370                 0            25168                   5115 
   23595993454    31052593714 32026955686             2247                 0            22555                   3997 
   24026553353    31573231960 32616254032             2138                 0            26512                   4781 
   24274597742    31810804872 32870270822             2189                 0            25772                   3907 
   23263369785    30292384605 31306875335             2294                 0            24116                   4018 
   24282172637    32351414614 33392269352             2117                 0            25531                   3708 
   23437124254    30598098676 31552766649             2262                 0            20963                   3622 
   24491866198    32240174288 33242081364             2139                 0            22888                   4235 
   22398434089    28694140806 29707060080             2773                 0            25894                   5435 
   23309470518    30189388061 31193750006             2410                 0            24420                   4537 
   24369273511    32023862431 33077753068             2481                 0            27025                   5374 
   24231047527    32036844352 33038441781             2278                 0            24163                   5897 
   17422828981    20104880916 21153903146             2105                 0            35197                   3416 
       1787254        1088768     1489980                1                 0               33                      0 
