# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   17107048382    20148956381 21006667502            18772                 2            44914                  12577 
   23806672780    29296410722 30388239987            18190                 0            54437                   5651 
   22058170696    26919386687 27901305665            15558                 0            45479                   5223 
   24004402707    30562671238 31591643509            15885                 0            48382                   5487 
   23036967748    29176672103 30192318169            14590                 0            46495                   5258 
   23519893634    29985830587 31001568024            15690                 0            48229                   5156 
   23969441643    30634453046 31686537066            15690                 0            49894                   5048 
   23142570321    29492618229 30496565623            14717                 0            46156                   5118 
   23445424992    30146469264 31143505813            15527                 0            47583                   4623 
   23406480456    29950842822 30962316032            15260                 0            47470                   7355 
   23548193717    29904437261 30938569229            15673                 0            48778                   5493 
   23182143576    29571019739 30565502461            15183                 0            45713                   5189 
   23916536920    30514475994 31536063728            16360                 0            48658                   5824 
   23509453059    29676802484 30690516909            16018                 0            48372                   5924 
   23589629538    29923254373 30987164162            16163                 0            50904                   5421 
   23231654740    29553413569 30520049252            14251                 0            42914                   4968 
   23492704246    29852070287 30868090872            15679                 0            48150                   4956 
   23841676253    30858614989 31866384188            15955                 0            48539                   4897 
   23158260260    29204876872 30223177916            15524                 0            46863                   4747 
   23799846784    30471620415 31484376939            16079                 1            47497                   5391 
   23790787623    30433887315 31443265025            14221                 0            44283                   5669 
   23236695332    29330840914 30337130904            15080                 0            47770                   5396 
   23676205646    30186605022 31186417618            15068                 1            46173                   4985 
   22561170514    28396138889 29347827394            13946                 0            42213                   4677 
   22550918423    28050528271 29023587052            15614                 0            47229                   5724 
   24231651798    31004238840 32042350259            16146                 0            48706                   5201 
   23223357222    29514694776 30517665078            14171                 0            45472                   5766 
   23521402049    29776941010 30775784494            15120                 0            46292                   5663 
   23345907455    29636647258 30645962743            15220                 0            46542                   4429 
   24074373294    30949712476 31990125479            15808                 0            50093                   5424 
   23783105612    30497262676 31502784369            15200                 0            47422                   5754 
   23027622157    29043794056 30025504058            14462                 0            44009                   4485 
   22897092450    28925624113 29909009233            16042                 1            48056                   5256 
   23549171813    30213314992 31203164674            15523                 0            46095                   5832 
   23744864279    30445852834 31451168497            14708                 0            46354                   5631 
   23466816563    29740186259 30764663196            16474                 0            50283                   5755 
   22118415492    27583865306 28524644588            13158                 0            39664                   5016 
   14919160002    16628953238 17477268690            12043                 0            40419                   4126 
       2042331        1504929     1878228                3                 0               35                      0 
