# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   17109191030    20105033321 21215969916           935841          11760947         11664935            14064228113 
   23662606339    29297185008 30535022355           992346          14372148         14146251            21792840498 
   22620977314    27782223956 28872133952           810631          12618761         12449582            20062592742 
   24233585813    30550692684 31768810988           949833          15477106         15228346            23085984643 
   23711052141    29728960356 30906022340           931414          14544266         14322290            22215294752 
   23432968462    29385573313 30502910150           862144          13112235         12925085            21787958834 
   24148103128    30289884665 31480915976           916345          15283884         15051185            22728149547 
   23435003020    29158366800 30297683840           893520          13919935         13717558            21579604028 
   23482537054    29481658653 30609228603           851678          14407448         14203307            21906442207 
   23881984083    30053922775 31233331863           914141          14572092         14352523            22475202528 
   23643470295    30123793506 31227920347           826750          14564368         14366129            22664757151 
   23132280397    28442224057 29600246622           894691          13854023         13641534            20820537196 
   23678550408    29099935089 30312713609           960814          14754281         14507802            21543777052 
   23988237262    29708926726 30889571934           896361          15120447         14898349            21949376340 
   23880444592    30171430927 31351084033           941228          14629339         14396753            22837087209 
   23305365650    28496429308 29687046540           921058          13983477         13758247            20744711658 
   24046035399    29425862301 30690963957          1005756          15765956         15478691            21753199057 
   24170799625    30179315254 31352966313           914828          14436529         14228494            22475848403 
   24414037607    30366667975 31598427551           962260          16113548         15852952            22727859533 
   23850414439    30032738254 31148607095           851473          14296202         14095872            22542417184 
   23660890854    29880791048 31019183011           867926          13839441         13637005            22237815606 
   23703237487    29241267236 30402024573           895626          14674447         14457698            21617234631 
   22847369275    27562659789 28660393016           828924          13242452         13066727            19912598424 
   23818638667    29624143870 30758146240           864491          14068434         13874724            21896658534 
   23171206372    28355050120 29455424975           818071          13902161         13721832            20671823797 
   23986158158    30146795965 31355059695           955499          15581439         15321135            22736239192 
   24339809194    30714073833 31875168268           888932          14924755         14710565            23128795106 
   23453986775    28840545681 29977492167           843257          14224458         14026877            20908884207 
   23446430695    28845548868 29990218015           901509          13561714         13348937            21350905476 
   24481230301    30539351827 31722215999           928110          15618568         15391739            22980163263 
   24146715235    30678986433 31858912145           920068          15126635         14889135            23235913967 
   23461841207    29192248739 30336866848           871765          14047714         13839442            21436700981 
   23057456234    28305659094 29408390438           844703          13039487         12857765            20641680893 
   24327970368    30645447944 31815324462           907489          15114030         14908747            23096536948 
   23762341526    29822756895 30949475991           869262          14053066         13861614            22302312398 
   23419745687    28968720606 30081186433           822359          13819377         13639185            21116900623 
   23936404874    29840804797 30987903041           876591          14510373         14313968            22256356495 
   23230636601    27344040789 28642331192          1037504          19299880         19030068            19870196633 
    2170927692     1549567520  1775889427           137334           5041440          4978655              411559080 
