# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    8997679695     6308164901  7828205665          2937957          18205184         17447732             1910220075 
   23903744004    15203539666 19844527400         10925858          53997658         51167125             5206824703 
   23441711440    14830860754 19429010846         10889295          53135960         50306272             5156496546 
   23989348167    15237063717 19934985693         11083782          54661802         51780984             5271310562 
   24188165383    15344126766 20089975816         11219484          55041920         52131883             5326082783 
   23488559475    14881988579 19489226883         10933854          53373052         50536385             5179556177 
   23733807288    15044020293 19698602640         11051154          53952637         51066760             5232156876 
   24104457966    15578896712 19971369186          9806894          51531148         48814785             5014438623 
    1164006285      887216583   970368680            30517           1442858          1392439               82771489 
       3805378        2504488     3005989              217              2503             2376                 299523 
