# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   16670738372    18843033357 19863779316           774657           8094803          8114861            12478615282 
   21479890213    24731603090 25836230215           828498           9893442          9783115            17076167166 
   19830581035    23580333922 24732264679          1002562           8544423          8416560            16947473333 
   22356535127    27001744816 28011209357           685341           9298481          9182750            19695574032 
   21954214898    26699564541 27665880619           641596           9894954          9768598            19557733418 
   22370465002    26853148504 27908200829           755526          10043156          9893828            19578064427 
   20148892192    24136373800 25265269772           946581           8617623          8499503            17470199778 
   21422757510    25864079508 27046546466           992812           9037248          8905921            18789383831 
   21484182256    25463816383 26662797906           992026           8965027          8835184            18241052800 
   21991618993    26652220431 27832500186           994849           9425876          9296222            19587171345 
   21028426414    25347506613 26496171727           966655           8987012          8868243            18461326021 
   22102121477    26759321820 27900214872           907088           9117677          9002394            19442785068 
   21278382270    25438084823 26631299744          1008254           9202383          9076946            18427467126 
   21560753406    26178291415 27389433374          1049430           9139960          9007747            19238629631 
   21754953149    25824646768 26997063763           945196           9075008          8955109            18454806009 
   21214579716    25297938728 26490842826          1025197           9349494          9234827            18397913345 
   21324205524    25214462426 26386154170           970951           8916085          8789004            18013549234 
   21765499840    26163564644 27370683722          1039971           9371915          9236677            19123860142 
   21680494061    26389125623 27537113668           934623           9160537          9043856            19390616525 
   21604748450    25426696014 26560554233           873254           8943783          8832892            17944150171 
   21666451138    26292139308 27477982321          1020694           9460856          9333156            19467051707 
   22073357129    26363345161 27465364414           866691           9377131          9256711            18988719460 
   21290805390    25628201364 26801429030           987959           9013414          8888123            18720451463 
   21781007526    25785564445 26964968904           961698           9011299          8884312            18394227509 
   21328805303    25599552544 26774854773          1014326           9427069          9299995            18722240922 
   21794993235    26534344294 27615014005           810027           9260560          9157032            19359432632 
   22008494823    26738559972 27904428340           921377           9463243          9349934            19531589341 
   21650616789    26442596452 27598143010           974689           9340274          9216662            19594871554 
   21455384723    25619996094 26795115902           958999           8819215          8694163            18417413049 
   21722654507    26522733069 27716162129          1023579           9311029          9184013            19615889292 
   21725885896    25643314033 26864252319          1030327           9268269          9135562            18401340611 
   21803026323    26204091302 27408037171          1030230           9362582          9225900            19238793052 
   21194304386    25358700136 26507183917           949725           9015401          8886652            18282726352 
   21832576882    26248579909 27380692432           907167           9175859          9051653            19029760060 
   21431899571    25870004516 27035970862           964964           9020207          8897268            18806564039 
   21914079334    26819206732 27964316395           936310           9366094          9245008            19802420480 
   21156389427    25444817735 26646176351          1054096           9036003          8897790            18587965276 
   21723574171    25876582873 27052311202           957396           9157074          9039562            18532380889 
   21503176528    26200725103 27349731481           955058           9223802          9099503            19276209185 
    7422278741     5850003137  6549467486           524580           7606491          7492937             3363952798 
