# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE 
   17548870784    20608296324 21409455314   1100142785          181381545  9449493632 
   20418325315    25551729270 26533740825   1652878647          214270849 11857664496 
   20698491399    25848807417 26872938341   1733160671          219056835 11995993797 
   20839460426    26293437121 27283513755   1754916332          221668213 12206094903 
   20282906575    25947201236 26890558370   1678813311          211226110 12060575245 
   21806222230    27902280049 28859080585   1779501058          224020755 12982106242 
   21435624782    27002183004 27952218622   1780127747          225481027 12507418475 
   21054836686    26937527687 27893816078   1745476598          219034872 12522409811 
   21408980961    28043774688 28986223132   1727647634          215101506 13099318660 
   20820929786    26749998473 27724604565   1733740390          215684017 12458780945 
   21115089251    26568313237 27524336277   1791150595          225053397 12304995121 
   21117772089    27255781938 28193511749   1753793290          219046882 12690487285 
   21151345419    27324940683 28283021501   1742564163          217698310 12727997003 
   21476958517    27646887241 28593469128   1780066238          222632766 12847470042 
   21074660342    27865357182 28788097763   1696993615          209848999 13038995187 
   21649884399    28238053303 29171555785   1773722439          220639979 13147777307 
   14210127568    16057106647 16916765706   1277129142          160957961  7314274150 
