# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE 
   16984164682    19971179075 20825659973   1002103975          175828847  9284498071 
   20362810783    24296007807 25217131824   1672417321          221941717 11255792971 
   24654665408    29587411317 30703833815   1998199106          259171520 13857067511 
   24747358000    30198034893 31255619051   1996866310          258579643 14142048443 
   23140276556    27931097426 28920736735   1942455203          249672588 12991538351 
   24189678198    29582839959 30595629690   1979619572          251910557 13842964969 
   24688624485    29664415439 30737747013   2033216598          262033010 13845508533 
   24572888119    29725627246 30816979952   2019242277          257827744 13901667436 
   22379501284    27121366986 28078332370   1878024323          241999228 12622700659 
   24215864035    29308292377 30337089804   1997282124          252333564 13707138045 
   24652339416    30114437152 31146508322   1995389654          254505379 14069824528 
   23833632513    28435798367 29516467070   1982313104          256289941 13227927448 
   23863415736    28477944016 29552555307   1990250467          257465190 13240598423 
   24582602051    30021415804 31100211459   1999259926          253684215 14048687977 
   25278357762    31191809803 32279922156   2027719459          257371556 14593192620 
    5900400612     4640162017  5118988828    536888774           80434448  1978829750 
