# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE 
   17511966019    20688259665 21687345844   1023395970          177429539  9721446979 
   20800839054    24735800137 25775312843   1674549157          222290888 11535261090 
   20703903834    25057057626 26202084375   1685277431          215504998 11777029543 
   22105701644    27189631300 28277492223   1791921186          231089322 12747917367 
   22196526580    27632880744 28763103639   1801138450          229682320 12993127573 
   22609576606    27251206296 28416798119   1875750868          243038740 12739999986 
   22595636796    28200446957 29377725008   1825615725          231947911 13279802833 
   22464016883    27793727751 28903993480   1822332153          233973285 13038130508 
   22238485269    27954045373 29054325945   1804374592          229580729 13153004434 
   21826540282    26911580171 28031933377   1788437598          228859141 12637363161 
   21251404226    25732530070 26882581664   1780314874          226496114 12056808109 
   21665827323    26848182710 27995423503   1769513600          224705389 12641300681 
   21943470719    27010402761 28166293306   1810599177          230701207 12689116494 
   21687358693    26782866321 27925102209   1786494869          227174912 12593650376 
   21777625404    26932442033 28088842657   1793563608          227995672 12646894788 
   21750825553    26891724460 28033284484   1784792834          227278624 12655978360 
   21826086276    25990303870 27279698480   1825282442          232589209 12220527774 
    3221441488     2151120629  2482935800    323655075           42868386   957471244 
