# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9568284787     6743536856  8398085660          19671759         18666421             2041197998 
   24280989029    15556818862 20410143477          55481395         52036023             5394661056 
   24138787197    15471857777 20316217729          55207859         51773967             5381028031 
   24227791382    15521780286 20401343220          55557178         52080196             5414265713 
   24192505020    15520617971 20370155160          55539358         52084574             5412755180 
   24695394688    15847067897 20822280039          56707009         53165580             5526224314 
   24536413167    15734854973 20679316489          56358961         52823390             5509123183 
   22660079849    14859953731 19098830908          48812402         45850508             4810181682 
     312873254      229695882   263764408            451752           429324               49332269 
       3278895        2371172     2765068              2245             2148                 214960 
