# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    5087158598     4616809026  4916628774           7223114          7030954             1008314147 
   23034039685    16537286974 19734968582          46052485         44102360             5021537308 
   24218337206    17564786046 20887863554          50590739         48386448             5139470408 
   24017218428    17494633508 20740227675          50381756         48218809             5101152609 
   24404808103    17708592684 21052606354          51103773         48877126             5187383795 
   24471897860    17787074810 21132465582          51206125         48973441             5206179474 
   24290758366    17667020050 20959051956          50781945         48588416             5174238927 
   24559664257    17810451578 21221007686          51492200         49218564             5227848888 
   12456001039     9088690688 10559608110          21984383         21074589             2302862576 
       4025884        2638663     3148484              2953             2811                 324802 
