# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   17683568183    12504970563 13794546652          20301801         19087068             1590262006 
   23324336684    14260921100 18727103443          57995267         56239968             5864281134 
   23500420741    14391742433 18917470602          58722922         56928181             5915766346 
   23757772618    14578711130 19125537136          59427203         57645773             5969269786 
   23330874030    14303806842 18766136584          58329540         56571751             5871472897 
   23412723415    14357839573 18833947370          58567296         56812613             5880087507 
   23730809294    14540207793 19094481814          59294955         57529710             5980009078 
   23201077376    14393437037 18706883257          56258909         54557516             5708006925 
    1595825541     1129564160  1323619684           2475070          2399277              312987927 
       3153932        2200831     2621108              1996             1914                 259691 
