# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6288795751     5379433673  5985587990           8657443          8414446             1589016771 
   23817709870    16847825246 20455359939          51970711         50802407             6623729447 
   23888161922    17070620984 20599170465          52757658         51513419             6508785962 
   23833507856    17007286633 20522332952          52706187         51478238             6491596827 
   24268658488    17336950839 20934423888          53796359         52529148             6628267598 
   23321264798    16770700474 20143771418          51748318         50593546             6342403059 
   24075197528    17257421861 20755532502          53339182         52101228             6534588033 
   24094667334    17223380024 20761840659          53301860         52049882             6532153644 
    6613771810     4725910016  5545141344          11080358         10754503             1489455494 
       3518471        2515809     2995623              2177             2068                 309037 
