# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   17655714514    20918011399      14264945 4822936613  8972014300          7703004           68069856         19263392 
   21210760474    26905410475      22371485 6205526548 11951299549          9840089           81721135         21282419 
   19615215536    24381287253      22724072 5562422198 10666024603          8490282           80148496         20605028 
   20936745774    27176707403      21390321 6265279776 12088918953          8746685           75666438         21015496 
   20900545291    26946524728      21916578 6207083668 11974784362          8976127           77973420         21243828 
   20942209668    26964633948      21809451 6206041328 11963337647          8824861           77039540         21139693 
   21571250298    28454173354      21678241 6585174532 12733130295          9243255           77786431         21646781 
   20748814981    27245935601      22223873 6300955833 12182651888          9089350           78647327         21011073 
   21218262161    28090074345      20373173 6505532081 12584060160          8830098           72950602         20836739 
   20939402400    27167589472      22245330 6267477562 12106395257          8956718           77747490         21151004 
   21300499958    27677739788      20751436 6388597271 12324462641          8979568           74040699         21538586 
   21247393951    27883912167      20335910 6444667004 12449811266          8953651           73582180         21190080 
   21062098951    27876615428      20110376 6455871419 12487335463          8837048           72140438         20670974 
   21077300244    27769909488      20724742 6420445355 12412934667          8937564           73977542         20950847 
   20633898000    26653375887      21516587 6142030484 11842599597          8973913           76625468         21063639 
   22067794296    29022416666      19715604 6702206722 12944952718          8869031           70895852         21763303 
   20017415556    26075795354      21925370 6018833379 11634124231          8989391           77575528         20454437 
   21395765947    27814740082      20457916 6412785228 12372533853          8719962           72977531         21246579 
   21162665971    28458173546      22820546 6622761399 12851442561          9491245           81329873         20999261 
   21095442711    27244654911      21393936 6275536797 12104762466          8915177           75607467         21302640 
   21491331461    27629236453      20025990 6351844659 12233810447          8700230           71238112         21546447 
   20999110800    27827015470      20676034 6451994510 12479942943          9283554           75218927         21096307 
   21075520110    27500384719      20958724 6352813196 12258095225          9105331           75200290         21306068 
   20778731647    27222397386      20322947 6284989249 12132708591          8691584           71902120         20891551 
   21129090238    27694046361      21167755 6399347812 12371656204          8986187           75266341         21253973 
   20856253527    27363064483      20759420 6322835075 12221031518          8759538           73231448         20927507 
   21877056318    29097092459      21324415 6747663435 13057546251          9228925           75945006         21547629 
   21025185497    27032384578      19579303 6217249796 11980785798          8540220           69947939         21129443 
   21113514347    27658607663      21479871 6390434109 12352574806          9134379           76703525         21423688 
   21350930260    28479290540      21527381 6613315451 12807319933          9220336           76982702         21274445 
   21002360775    27364361897      21064948 6316591971 12198162184          8968671           74984481         21405952 
   20747204013    27004491427      20462601 6232952813 12031346860          8887176           73188970         20939717 
   20877243507    27338810753      21184415 6314215882 12203847349          8722113           74092866         20792809 
   21312104437    28114158940      20866995 6501027235 12569690154          8963582           74575947         21158232 
   20689813898    27045645634      20665186 6242503639 12054834492          8884026           73533090         20883384 
   21380195504    28220482852      20315667 6530668448 12619910497          9047408           73224704         21412147 
   20663942178    27279290801      19227765 6308442651 12188686861          8597956           69525755         20447562 
   21309372919    27445198196      21129393 6320906417 12186522905          8997997           76657304         21325302 
   20862280983    26870283339      20283773 6181544938 11905888583          8846913           72825334         21211213 
   21213059810    27720031945      19776623 6395294477 12345104912          8704243           70576831         21169621 
    4176747064     3072659234      11581923  621059853  1104058944          5280715           41314079          9108548 
