# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   16798570791    20158565701      18388471 4700243463  8228881550          8403062           81233591         23251359 
   23418314200    29431117143      20100251 6781958507 11368351526          9163875           74018398         26095784 
   23440946077    30653142039      21466102 7121106089 11882167637          9409498           76939103         27185434 
   23982667374    31594981303      20405849 7336693266 12146434492          9402540           73766509         27568777 
   23268145935    30646327014      18500921 7095182716 11761678075          8860881           66201133         26733566 
   24044402259    31978283595      19928456 7444319477 12358053974          9512780           72343434         27857405 
   23106539051    30052826222      18830056 6942254232 11554195951          8744549           67145697         26583832 
   24594893574    32737681502      19351380 7622615949 12680882397          9697473           71084060         28437416 
   23463948726    30643740489      19161078 7099345653 11797972238          9101600           68762916         27155365 
   24025832807    31738581573      19764777 7374981448 12324950740          9498329           71774140         27935201 
   23161381492    30442261964      18023283 7051682969 11829917711          8902705           65449639         26689283 
   24336043415    32078927663      19475712 7447689611 12501344235          9747996           71681787         28496744 
   23440101574    30575579061      17594072 7065184457 11716493677          8925892           63893789         27148308 
   23195728787    30244512052      17496716 6985387477 11786473853          8755810           63769542         26759495 
   23887737726    31383885236      19462322 7274391129 12206574777          9672319           71088868         28073128 
   23566876317    31102110233      16608755 7200824612 12208290449          9118698           62603094         27436922 
   22891883632    29494486432      17828342 6805642610 11625121999          8935213           65323580         26889628 
   24092528888    31318569778      19921932 7253778139 12224681155          9572097           71964453         28362137 
   23739060592    31115661293      17055879 7193245650 12078804251          9155514           63056514         27451422 
   24073947290    31942526699      18933719 7426710394 12508036514          9436775           70217609         28178706 
   23109355416    29853550635      18148531 6884458250 11543094629          8843687           65309290         27126841 
   23357172600    30477096944      17609160 7046413666 11839934119          9130939           64825494         27245936 
   23751118307    30586619346      17088265 7044863041 11972434235          9044341           63804232         27976842 
   24762272085    32578807669      20195390 7576497589 12810412926         10064862           75030801         29493113 
   24193038311    31945296602      19038165 7427968247 12376223311          9598929           70017874         28333555 
   22325327444    28063215838      16679971 6415026205 10951308523          8304117           60298924         26071419 
   24514567146    32236752769      17859316 7479716896 12604353186          9763201           67272731         28943141 
   23608957878    31154702255      18766862 7230256084 12057732785          8964655           67637810         27312093 
   23691681960    30956675381      18143850 7159273894 11947538024          9127378           66227472         27727180 
   24511123789    32564910106      18894416 7585053712 12697699343          9698195           70135872         28682225 
   24081853573    31807188675      18784491 7387002939 12247439727          9216479           68184432         27638194 
   23420806826    30622922746      17646981 7082041411 11840759843          8991570           64578419         27132920 
   23899986422    31588952597      18421290 7338750785 12332340055          9259262           67430740         27534287 
   22796260431    29056047307      16853238 6668955699 11322279708          8625239           61653040         26553520 
   24480290737    32294509616      18932586 7502506820 12668503661         10009674           70761690         28851757 
   24130431850    32094920900      18054881 7462207880 12533394407          9448547           67007225         27948306 
   22255754489    28027739024      16938354 6414036052 10929442673          8287765           61004937         26140641 
   22727031116    27546974414      21603343 6286982972 10843592669         11924660           80556074         31468586 
    1515514985     1020421955       3360202  205260062   353411982          1273800           11600030          3976095 
