# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   16746668826    19544760057      26233639 4508323134  8104516504         10888615          105392307         27180398 
   23406223476    27912428152      26981663 6301271156 10915451014         11900259           97650198         31140548 
   23470783974    29173507107      26968356 6662957720 11520599124         12232006           96622155         32115968 
   23057668543    29119407686      24649113 6657353014 11385242587         11629356           87987982         31489056 
   23520266337    29699262194      24958277 6796527268 11800140699         12195117           90315303         32466978 
   22206833533    27899913757      23394137 6365574986 10942823569         11246886           83323488         30455628 
   23198595650    29475777999      25844461 6753602360 11566174285         11958596           91650058         31793412 
   22774728039    29166719699      24378764 6681445458 11481594747         11587668           87104576         31112656 
   23278515363    29637013902      24918414 6789469264 11629147471         11796553           88484356         31546509 
   23332206306    29363560049      25680319 6717769864 11548940731         12008173           91854621         32356317 
   22614483434    28331598186      24374115 6465260736 11091819984         11577408           86416046         31270010 
   23424101642    29649743080      24218256 6789997672 11765964163         12013978           87689551         32286459 
   22981591837    28734587296      24696412 6556823427 11420339410         11832389           88363107         31907077 
   23111431527    29183668634      22978441 6669130819 11551436007         11852477           83644619         31699461 
   23104872380    28756538003      25885128 6560027056 11395834360         12032896           91860444         32016391 
   23526076828    29179774572      24992350 6654430826 11640141664         12281979           90627795         33153961 
   22906327687    28254731008      24399645 6426327605 11257900520         11681589           86791597         31801895 
   23302094701    29612820118      24565141 6785891149 11724772106         12126481           88745997         32240402 
   23862000789    30135057112      25081626 6895226025 11806682175         12258659           91016167         32838140 
   22883928738    28784223660      22452469 6572583025 11389759278         11510011           81516913         31287902 
   23292631717    29127708945      24362652 6651990369 11556989062         11984803           87603750         32273012 
   23739777294    30148913497      24277032 6907232752 11879906469         12028193           87667635         32473573 
   22986996828    28659945536      22561970 6529057978 11319821141         11380936           81683044         31534308 
   23685181275    29868693777      24570433 6835889210 11802824409         12190330           88530815         32646260 
   22672642336    28111505181      22991218 6402956329 11222941379         11510961           82803968         31235151 
   23731828509    29511864974      25117079 6726994602 11851128071         12346128           90191457         33095254 
   23280419005    29163985891      24087952 6665937394 11594251832         12012770           87299060         32265210 
   23548471478    29248569892      25645505 6673590340 11577629213         12147434           91593724         32870633 
   23243464446    28765496783      24929507 6549501342 11366326659         12058485           89396090         32435122 
   23483453138    29188550850      24678497 6655023499 11615134919         12165774           89464933         32899615 
   23925488644    30262205931      25781935 6939735773 11908381897         12465949           92890120         33020081 
   24051335624    30787646924      25799602 7071238977 12060452231         12422323           92802297         33206747 
   23791856431    30002244722      25103477 6864162619 11751769946         12233068           90633529         32858842 
   23672489798    29574552295      25038363 6754292300 11634301766         11973636           89508444         32478984 
   22929399813    28402791607      23839480 6465109109 11242150421         11631413           85371786         31751626 
   23880180548    29855892659      24998304 6822768684 11925742165         12695608           91325245         33431669 
   23117919720    29315634457      22688959 6701347433 11510268291         11347561           81606531         31352142 
   23509987135    29001722582      23062536 6594108717 11623840156         12037413           84199665         32721567 
   20333331138    22294571744      31301449 4910011917  8664311271         15047865          111268694         36651149 
       2812919        1859604         18237     473124      778340             2789              55677            10171 
