# p/CPU_CYCLES p/INST_RETIRED p/BR_MIS_PRED  p/BR_PRED p/L1I_CACHE p/L1I_TLB_REFILL p/L1I_CACHE_REFILL p/L1D_TLB_REFILL 
   27135512723    10959831212      28317060 2265601019  4593485792          7968902           74594118         19261764 
   20547401248    17581603462     127762756 3852625105  8067561629         47212823          418448050         67660021 
   21536905628    19125738397     125394092 4178707893  8714991887         51317007          424077414         74241899 
   22039160893    19868049178     126496781 4355641621  9038190659         53640050          433354316         76797056 
   22242599807    19839741728     128408033 4331836679  9047216610         54556047          439721884         78096821 
   21635987946    19189883246     126901253 4184921539  8772209373         53158388          432262114         75965274 
   21962719289    19616216838     128856517 4288110359  8960104530         53881079          438218306         76832122 
   22039297785    19777537141     126625816 4326670403  9008984569         54049987          434185172         77224647 
   16580123312    14275976094     100581266 3079007527  6481123138         43120124          343135914         61630895 
       2697200        2562027         14535     735073      985356             2370              41402             8878 
