# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   17798808260    20606580244   1064487324          183602114  9323317729             114679478           84556193   798312914             219354654 
   23400700263    28650721099   1897513671          247854365 13315761378             162648935          145263822  1132115886             385456462 
   24156530721    31154141892   1900953178          240040459 14572385795             156703736          139743517  1126514891             381726893 
   24255546739    31682639097   1893068682          234758053 14824445596             153203787          139102434  1112722899             377961951 
   23465117427    30353816480   1865112808          234948404 14128496790             154641418          137765246  1084158046             377344087 
   23844895557    30826322159   1888950042          234737115 14382130217             152358206          142172426  1105508099             374252187 
   23898316368    31233601152   1848867930          231291776 14582210620             150935230          138938440  1086048630             368605435 
   23338862271    30046955923   1853262880          231509131 13999614494             151298054          139637251  1080631595             370145459 
   24086602126    31075197089   1910380503          237460936 14475694564             154468427          144303293  1118868305             379263962 
   23720145800    31000566318   1861112372          230929340 14480294173             150657555          138424158  1090713751             369540455 
   23425290507    30407690230   1849556414          230355156 14146344696             151161508          139287556  1071782014             369976833 
   23497940709    30283983192   1866681591          234457329 14062738682             153965264          139713830  1087829221             376807665 
   24253305251    31680966352   1879987102          232141240 14808627937             149939530          142489821  1109632030             370320043 
   23250951965    30042236164   1834346973          231121619 13969177820             151051827          139359912  1076041984             364851407 
   23244748736    29547267118   1893829628          237423165 13695552088             155865542          143023695  1094911728             381935247 
   24259051096    31536537800   1902599605          236193633 14732642071             153307639          142357423  1120030592             377636391 
   24092816651    31783690900   1869374137          228887608 14866535328             149098620          136751373  1092544882             372259208 
   24140073456    31256133806   1915243143          237492030 14583554192             154916576          142534259  1118627405             380709384 
   24280012570    31750365273   1899630260          233452539 14833789911             152163609          142080636  1110966759             375428875 
   23568694842    30446069920   1873500527          234439261 14141334340             153909420          140042847  1081685674             375758658 
   24391670251    31587748902   1922087014          238398537 14721056997             155741270          144401829  1120266884             381891564 
   24023331643    31735719753   1842996837          225723291 14892190923             145578333          138856243  1089643201             361026302 
   23441297845    30456482224   1845439297          231237554 14189746922             151070417          140482033  1080623237             366793681 
   23874429942    30936321496   1893863371          234734452 14420334399             153605238          141750815  1099408306             376104046 
   23157437313    29777353948   1863844972          234448403 13817151636             153865855          138643747  1081431532             376287908 
   24028380620    31638506502   1869029550          229354256 14797676058             149231501          139586398  1098381793             369778440 
   23809487766    30827084627   1866306518          233759866 14361587463             153016589          143299135  1088488769             369050491 
   23592915318    30695490367   1856689026          231299991 14309309670             151080822          138009012  1082395229             371667104 
   24521448503    32209424713   1894508707          232847665 15090278238             150550876          144019955  1119305547             369503942 
   23856393604    31266125565   1851326666          229110067 14605072440             149442301          138460807  1079662983             367340699 
   22895228562    29864228959   1797618495          223398403 13938142338             146112405          133137557  1046744985             361650442 
   24349980084    31078838352   1930804490          243641563 14457150042             158510898          149322668  1129378834             380624531 
   22479899409    28961002462   1807450857          224300019 13452146132             147096051          131768717  1045288947             367431959 
   23298954995    30200834514   1833673194          230008583 14053281322             150692199          138118286  1063981147             366184870 
   24409083991    31795131141   1911667431          237158696 14835486940             155158961          141260138  1111270942             381539616 
   24346094759    32159490879   1859963321          230215686 15038539263             148832600          139422808  1099376088             366879536 
   18530081528    21680313806   1493277011          201298183  9889838035             129265006          122542781   908131626             302588256 
       2126069        1947762        88779              16443      416669                  4973              19104      108335                 11016 
