# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   17035416741    19813790656   1013066854          180597183  9103152891             110686514           84395207   787488890             207482119 
   23482675748    28998670197   1781684684          242715955 13665591539             156051058          140276625  1086639497             359013693 
   23021599600    29175669018   1800639736          235771254 13717595939             151886161          143748196  1072911831             355508098 
   22793106691    29199214637   1792645918          230331937 13708742946             147842515          140158616  1057676980             356785378 
   23142471722    30111866467   1817878730          229702471 14160855581             148135918          139681899  1070487799             360914031 
   23133923903    29609263167   1830078002          233309085 13907840532             150038552          141827851  1076575742             362601264 
   22541988052    28733949920   1798100955          231062295 13449275206             149517507          140456550  1053357690             359626034 
   23555372199    30538526515   1827748258          231783879 14369442181             148151273          141393653  1081430848             361102272 
   22610420371    29008136036   1796685077          229659355 13600280345             148049749          140331444  1058712031             357647859 
   23366920437    29964600142   1828574023          232373074 14093831810             148324957          143289330  1081238785             358831797 
   22760813345    29070570602   1812023937          233086277 13594569612             150608667          140929311  1058238571             362441595 
   22925403891    29535147143   1805111172          228929347 13878740506             146721871          139867981  1063534587             358073790 
   23086086206    29672968160   1822775810          233768932 13894333729             151021987          141914475  1069911441             362684470 
   22646004888    29089260421   1790477260          227615927 13658530086             146282633          139586988  1050887364             355033546 
   23187752568    29957438723   1817580948          230268862 14096646606             147354761          140537166  1074754418             358894687 
   22929588104    29663958264   1804719961          229610772 13879349249             148302659          139739483  1057163160             359769783 
   22816718368    29174163887   1805002894          230205351 13712932216             147186486          143359794  1069059708             353848899 
   22677939217    29240518523   1788546113          228135721 13725658285             147010202          137180556  1047125466             357367660 
   22909281312    29579145882   1813171266          230264531 13871874742             149001966          138307132  1058503225             363897227 
   22674042890    28935511819   1799967357          230438827 13567074526             148096877          140174115  1058203123             356729504 
   23570543976    30540406873   1836222836          232595962 14380445635             148131448          143644964  1091008254             359591787 
   21511516076    26901593215   1772488199          229467723 12509785086             150270940          134470645  1020773892             363462028 
   24032896824    31247036930   1854198654          232434742 14748184963             147509942          143640073  1101257142             361158684 
   22993654704    29297824038   1823333176          233266472 13729016034             149728580          142096915  1072134174             362150465 
   22289321247    27685047285   1804377966          234096598 12900727511             150398285          143281882  1058485399             359186052 
   22494653213    28852816098   1789132087          226844881 13536652755             145909714          137819461  1053138873             357983398 
   23324165081    30210586746   1838667808          231776305 14209733501             148877739          141753105  1081510507             362548745 
   22972902207    29379685601   1816908623          230902954 13776033121             148355308          140939097  1065227306             360746872 
   23350416973    30122913007   1827294061          232287023 14188153945             148523988          143331582  1080991401             358363165 
   22365089241    28415522754   1790113922          231043852 13251774041             150307109          137956910  1039888399             360990282 
   23473634663    30238717463   1840879917          231688429 14232682032             147445399          142616519  1087208946             361266427 
   23299535130    30125556040   1819382249          232812009 14147065888             150070696          140935401  1068510593             361127879 
   23296101694    30040034214   1827494495          231883864 14110176429             148871338          142576622  1078219170             360069181 
   22442135834    28326025298   1805645241          233128051 13219856590             151082487          140903044  1052963611             362889251 
   23827659334    31215421768   1825107839          227745043 14732954870             144910652          141077654  1077279439             357607563 
   22686520052    28779524562   1816019445          232885467 13466321623             149964055          141052560  1065552109             362813870 
   23016651367    29336371328   1819862243          231664701 13755326071             148558894          141473538  1065903575             361573151 
   22930056231    29435034169   1812652255          231362895 13804163032             148410089          140192949  1064152673             359979723 
   18621839626    20601532713   1567480754          215213023  9440680397             137271363          129416724   941728936             323315190 
       1791220        1275762        88405              15839      402315                  4360              18548       90571                 13867 
