# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   16484696100    19196346493    957717819          171927986  8970052033             103675144           82836588   792111559             190331318 
   22626747138    26661208583   1829148754          241370190 12487178194             156806459          146262030  1109844368             372761882 
   22285366442    26871153721   1790867788          233727359 12585727721             150503679          133618305  1088610764             370009169 
   19999267258    24387136892   1675285457          214716873 11378999081             139746404          128452855   995845098             347039572 
   22317906444    27070437783   1845821402          235044014 12681828256             151750308          141751172  1105322411             378013641 
   24356840038    28928427646   1980549461          253920838 13619484929             159974954          160019439  1219660988             388846108 
   24212540093    28870334291   1966518476          255015486 13553359209             161917531          157419343  1195196886             387283841 
   24421393478    29014868469   1993268207          258346280 13593748199             165213381          156331348  1202070140             399648495 
   22907219335    27351396431   1893947229          244460376 12806835562             156551881          147320591  1136533793             379617582 
   23772571235    28180705086   1963026264          254195606 13187523018             162325581          154277890  1182119208             391712774 
   24263814034    29222878792   1978736930          253823964 13717211739             161316511          156666718  1195655041             388630549 
   23758228999    28161143831   1962123132          252981645 13155794820             161865803          154400122  1175189969             392485940 
   23964671050    28559760445   1973155524          253393994 13378379271             161022121          159400270  1190902375             387270553 
   24141192127    28744948624   1971977056          252959448 13486417075             160105946          158562900  1193158143             386036885 
   24003908748    28384137858   1986227315          257794905 13268133745             165497738          156251063  1187822871             395856332 
   23909910805    28375423020   1970019739          254441272 13290636044             161730354          160311617  1193366039             387078258 
   24190582338    28932794776   1976702531          253647887 13576025232             160578145          160085304  1196544875             387024696 
   24684745244    29827580869   2004725682          256274733 14003864300             163198030          157708023  1210405777             396295913 
   23566454414    28730973713   1927660470          247672076 13457996767             159359395          145918166  1151206025             389884328 
   24346132466    29317716614   1994880707          253837062 13774137635             161910504          156065163  1196663079             395028356 
   23660134485    28402091783   1949174008          252761438 13281270795             162414154          151308907  1165256843             390356897 
   23932911735    28625767767   1970307161          252745443 13410926009             161180301          153634497  1186808645             392401953 
   24805546139    30045140385   2006938833          255274616 14128355839             161841898          158836603  1209207703             391661230 
   23852566789    28520028655   1964650927          254355178 13329079088             163080940          155738804  1176417420             391540415 
   23859842321    28810284656   1943500254          250302336 13514447193             159141487          153035524  1171542914             384045826 
   25098400498    30730638888   2002953983          257060180 14431548644             163672488          158618132  1206108688             392344229 
   24296989717    29877630516   1957944378          248407748 14048642565             158591356          152937495  1175845518             387270406 
   23355088528    28505958585   1914343227          244624413 13350452518             157137149          147845339  1142395138             384366303 
   23225906077    27614630245   1932774211          249790744 12910829126             160067919          152434561  1159285184             386250018 
   24041835025    28984842656   1969678681          250810851 13606370972             159464349          153933631  1187126477             389409083 
   23534390543    27758365415   1957684766          253266472 12965562469             162344039          155037771  1168937336             391689108 
   23300119511    27689871688   1937068005          251737360 12932577272             161686814          151410966  1158624716             390039310 
   23938536409    29101032200   1941142800          247433329 13698341419             156829399          152274773  1176074220             382726292 
   23388476326    27479835134   1960210415          253509740 12837352750             162354488          153536248  1169820167             393516491 
   24180482420    29035480485   1980867307          251915225 13648816341             159569685          155355348  1201810283             390387274 
   23320938960    27286654240   1958811090          253919794 12730077834             162663821          155003596  1171942054             392596903 
   18948242958    20144765954   1531910743          213848064  9369621893             131017689          133944091  1002197553             301431900 
