# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
    9879078596     8281788159    249425425           75265173  5168391503              36345359           35502085   451104910              44169579 
   27083514738    21893028028    900089949          209214440 13923713565             106364773          132768790  1199333896             148685603 
   23366841400    18500164561    846804370          202567279 11623785800             101782194          127287027  1215138836             135906093 
   25706638203    19998461255    861173386          206200008 12877716173             102305049          138486593  1219880957             128088949 
   23035888383    18499633501    847202601          209150274 11485364481             106616786          122425702  1275813039             142876523 
   21146644980    17081840348    817716528          200020054 10481848712             102535835          115986970  1227917894             137103110 
   20891016675    16980936767    801989964          198762345 10421534824             102361652          111152206  1217413770             137349963 
   20473688314    16676976805    786522736          195709287 10234962670             100173414          110446325  1210580283             131201492 
   20264296934    16477922711    787761520          194395520 10099885458              99717662          110285644  1198567237             131642868 
   20868497206    16964390946    811962153          199970479 10396918805             102990099          113072445  1226431259             138679106 
   20968078118    17041268653    787535587          197803969 10502314250             101041156          110929335  1221452772             133306227 
   20253332470    16466118928    795006612          194329857 10090705278             100125191          109820777  1187067783             134277988 
   21731549174    17669240680    818678892          205544193 10874949684             105521519          114228449  1258124546             140935706 
   21029720000    17070370317    810887593          199943729 10493548189             102592853          113727250  1227343800             137390949 
   20335970788    15933537277    672210256          171516432 10216372521              86069553           96697378  1079618647             113683663 
      90743612       67945810       769352             268582    48381932                124931             161909     1531922                151769 
       3675532        2739678       128783              23452     1360330                  7361              25969      142113                 15652 
