# p/CPU_CYCLES p/INST_RETIRED p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE p/L1D_CACHE_WB_VICTIM p/L2D_CACHE_REFILL p/L2D_CACHE p/L2D_CACHE_WB_VICTIM 
   16795192582    19226869040    991204607          175082807  8920809709             105924841           90722816   809120028             193581529 
   23986003230    29599142296   1783468773          243067239 13940183865             157490622          148660727  1109325082             355123962 
   24712611556    31728121070   1901193864          241964522 14981867668             155300646          153058049  1152346308             370311419 
   25066076246    32697273545   1912756707          242793311 15448595400             156116551          151558712  1158306532             371746352 
   23621596681    30596600646   1830438385          234574162 14402832633             152380216          145521793  1094594992             362184117 
   23732406699    31147036177   1836959138          230805810 14688495421             149307173          142284427  1095029782             363095021 
   24636062403    31869685103   1902176484          240791121 15029849398             155396867          145782381  1138911454             377596157 
   24390380727    31959465674   1880324660          235288985 15097532565             152040809          146899227  1125379912             369324283 
   23953451053    31409831583   1842220466          232829322 14802381145             151476142          141706894  1093675486             367663089 
   24167993605    31377365567   1875616088          237624506 14779818575             153551253          148539948  1120387908             369000988 
   24156245692    31402871162   1876516610          236168783 14814387235             153102746          146366190  1119102481             370240267 
   24654233161    32181506769   1879265565          236036714 15202318666             151722867          148037297  1129386191             367031064 
   23907149390    31368583608   1866269875          235065430 14782344709             153216396          141244194  1106780406             374433908 
   23562148512    30078842000   1882899335          240014528 14115288576             156287998          144983483  1111206496             377920956 
   23887914979    30807232802   1882660692          236472065 14505580274             152855481          141958283  1119582166             376574270 
   24963848803    32890240653   1903133634          239550725 15516390872             154327095          147436462  1143912152             373945245 
   24402954691    32205161670   1884288140          234575141 15197270092             152266512          143616544  1117102526             373065740 
   24021494362    31010182506   1889087932          239092138 14566505274             155179996          143326740  1120534857             378588618 
   24391419464    31370335738   1902538679          241218047 14756433540             155850343          149551223  1136177399             375774017 
   24121573694    31050993675   1898871877          239839741 14608748885             155041987          147828960  1131165782             375991520 
   25367105149    33605893675   1906476291          238264542 15918080829             152406046          150107541  1155576252             367962120 
   24283098102    31405811261   1897565455          240949164 14765310874             156830321          148545374  1123276225             374980090 
   24074422011    31005955831   1891316209          239182976 14569002346             154724001          148362021  1124629153             374054349 
   24502550909    32042824425   1892069512          238232479 15092670643             154107638          146591252  1131027987             374395749 
   25195765843    33333425630   1908579533          238828015 15739768910             153769707          149342291  1146010296             372630974 
   22033592177    27761301812   1796066886          233158525 12928843674             154514213          135383505  1041175276             372123550 
   25736780815    33058915240   1972213375          245535343 15646832334             154607762          155657903  1206482090             380286961 
   23089840732    29425746460   1840969715          237024575 13781133366             155789222          139417654  1077813415             375238826 
   24641923763    31061728784   1966170298          247242312 14616972469             158274796          149999437  1173807326             390758604 
   25139393690    32475346034   1945513930          243466251 15349108517             155427770          152325264  1174451889             377789997 
   24074578531    30734537760   1885607661          241079557 14443156500             155433318          150468285  1128233279             371042871 
   23750720488    31051935024   1839239333          232748503 14624142890             151678011          136493990  1086151571             371922283 
   24641419817    31244100046   1948957725          244640707 14709400245             157538607          150734919  1160268859             386219462 
   24414447902    31713441564   1894137162          239213711 14916730467             154790276          146861301  1125062531             374316313 
   24510300854    31350129192   1916443351          244279265 14734334400             157503237          152231165  1143505098             375693341 
   22732927875    28659112933   1841404752          235861745 13398865434             155624334          133433139  1071296515             384290780 
   24459321091    31201286910   1915655257          241983239 14717890680             154559067          153412578  1151256236             372415762 
   23464328661    26204114847   1895647893          254217278 12232468344             156717360          164528060  1215016043             372523722 
    1693590778     1089476759     85963232           20740710   496482371               9531928           13216825    89515377              13625260 
