# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   17751875721    21670746703 22527184040             3930                 0            26559                   3934 
   23542509170    29554013100 30696193983             3357                 0            35082                   8003 
   24108443652    32384334856 33431064690             2411                 0            29946                   4348 
   23286564229    30502057845 31569625389             2384                 0            29746                   2995 
   23173942368    30866827704 31895986196             2355                 0            28394                   4502 
   22889351841    30518276955 31526637689             2371                 0            28554                   4201 
   22950958207    30137123141 31159638153             2220                 0            31133                   4059 
   23200166087    31390417296 32383190293             2162                 1            27410                   3558 
   23617881744    31529309156 32573496621             2306                 0            28257                   4193 
   22714857464    29721621642 30748545292             2254                 0            26487                   3241 
   22325599517    29405226931 30407084815             2184                 0            26450                   3450 
   22796514505    30154793984 31143642531             1978                 0            25244                   3237 
   22416099858    30082229262 31015851161             1954                 0            23334                   4061 
   23613548230    31265863560 32271342439             2178                 0            25347                   3207 
   22704222362    30149606458 31188087213             2178                 0            27960                   3828 
   23658139195    31524657057 32572172893             2334                 0            28641                   3997 
   22351639912    29587506503 30546335507             2112                 0            24614                   3338 
   23050041084    30875895739 31838561885             2063                 0            24021                   3463 
   23533422189    31473517719 32545726736             2356                 0            30236                   3922 
   22386763440    29538154968 30525810858             2237                 0            26653                   4245 
   23177786198    30659358927 31673667591             2252                 0            26454                   4037 
   23053648618    30631238799 31641095313             2251                 1            26744                   3617 
   22859866127    30088139544 31068948055             2140                 1            24507                   3705 
   23297443868    31078187218 32090019225             2264                 0            26955                   3254 
   22782264385    30453319664 31436423970             2048                 0            25014                   3133 
   22739943785    30122898729 31120492380             1984                 1            25084                   3330 
   23727448073    32208235641 33219647629             2189                 0            28201                   3713 
   22535250576    29717863835 30650072554             1929                 0            22021                   3701 
   23070770204    30908614286 31889986191             2173                 0            25308                   3410 
   22521403889    30163759762 31105678792             1941                 0            23394                   3700 
   23097719112    30772439430 31756752410             2017                 0            24826                   3926 
   22473167677    29617493520 30558365436             2067                 0            23219                   4494 
   23029772803    30600105864 31581735299             2148                 0            24891                   3140 
   23032484975    30903458685 31892095455             2272                 0            26167                   3657 
   22544366505    29631079400 30625077003             2160                 0            25474                   3685 
   23107239079    30779964394 31755063589             2087                 0            25055                   3882 
   23159775967    30778337675 31771940029             2260                 0            25720                   3790 
   22492404578    29606216378 30594846672             2080                 0            25010                   3545 
   23027858066    30917238149 31913768661             2138                 0            26704                   3935 
    4411242040     3347164059  3798521778              751                 1            14234                   1387 
