# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   17490977956    20663550665 21532691613            18497                 0            44411                  11926 
   21211751482    26454923032 27401959754            15580                 0            44989                   6763 
   25224094456    31066974879 32221050452            19145                 0            59875                   7050 
   24126441685    30237693104 31279571630            15730                 0            48259                   5126 
   23191943074    28823594764 29820430822            16407                 2            49007                   5792 
   23998064355    30023056956 31086159943            15694                 3            48905                   5042 
   23997782375    30358092336 31387225653            16756                 0            50075                   5879 
   24365114426    30705928402 31738849669            16430                 0            47279                   5028 
   23659167007    29325438767 30385495010            17411                 0            52175                   4488 
   23403492006    28740381514 29752657751            15462                 0            47786                   4362 
   23591743483    29163953483 30191923497            15999                 1            49892                   5642 
   24550104997    30544565730 31659563868            18619                 0            56720                   5700 
   23009969516    28556712245 29541052019            14793                 1            45384                   6336 
   23379492164    28916751540 29912294456            14770                 0            45973                   5869 
   24643384706    31076438045 32109822415            17427                 0            51803                   5793 
   23995127051    29611155544 30666646646            16341                 0            49948                   4954 
   23708881887    29406702868 30436238276            15858                 0            48916                   5466 
   24733801805    31003813714 32042491541            16094                 0            46968                   5200 
   23768102297    29104472353 30171518362            16732                 0            51588                   6496 
   24459392180    30681787926 31738467850            17452                 1            51806                   5291 
   22868082346    28001503039 28976415731            14768                 0            44372                   5119 
   24456122217    30598929566 31666635608            16990                 0            51936                   5232 
   23813020604    30119245808 31106966874            16441                 0            48580                   5534 
   23810475556    29358220866 30367111074            15928                 0            46857                   4788 
   24095841424    30060419363 31097572044            17200                 0            51146                   5708 
   23986086329    29449847222 30493882333            16659                 0            49869                   7052 
   24263869298    30288117140 31341558770            16819                 1            50116                   5762 
   24198791377    30200628068 31254022306            16663                 0            50736                   6113 
   23773517977    29335276246 30342773622            15223                 0            45288                   4088 
   24504897523    30826691872 31857807204            16082                 0            48788                   5561 
   23918606583    29579309286 30632241604            16717                 1            49117                   6291 
   23707965682    29425767565 30428572510            15534                 0            44561                   5252 
   24226621393    30682812241 31708380942            16015                 0            47446                   5613 
   24277195913    30254739347 31302874450            16261                 0            48442                   5541 
   24049416249    30329683708 31353037729            16324                 0            48030                   5288 
   23689007597    29164923904 30204074721            16083                 0            49175                   5712 
    2734761133     1901182196  2147794544             2691                 2            10600                    694 
