# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   16057707221    14192976461 16518750452          2734102          41234715         40911534             9884904395 
   23783517759    20729863848 24319197776          4272973          60356422         59797236            15149948987 
   22811215528    19796323147 23416792181          4434213          55090707         54628791            14664959830 
   22578906305    19245520312 23024287823          4701845          55107050         54540227            14369450095 
   22701383503    19265889908 23115047250          4847567          54558893         53977108            14502506464 
   22560527370    19401730233 23110490808          4589018          54226982         53719043            14519867529 
   21358945766    18646114658 22330943238          4611027          50348490         49875910            14171693645 
   21856494802    18906338942 22727502940          4815762          51461902         50934490            14449011537 
    7261972749     5722590547  7047255716          1526616          20796865         20602254             4344133806 
       2412361        1971428     2365392              141              2291             2261                 247634 
