# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    9266624993     7672090516  8775618329          1517673          12653768         12135335             3113497811 
   26369081704    20981506841 24168488103          4804797          35806316         34053651             9088617466 
   27427798275    21540765144 24977147138          5269982          37007367         35108611             9160620622 
   26821219987    21146603592 24556922559          5259203          36541929         34688791             9121716759 
   27789721266    21836108472 25336698919          5333185          37651289         35740753             9195774934 
   27466709786    21668227349 25118984415          5266498          37480153         35614919             9088886247 
   26535317531    21041301355 24489115500          5341798          36650582         34767932             9284718241 
   27087767931    21294593318 24775904616          5366410          36941386         35027915             9157663364 
   27250947109    21516195928 25016324846          5430505          37381349         35515382             9235253976 
   27308288288    21471469632 24986717928          5449268          37254337         35350260             9153848810 
   27199107082    21443490926 24917298542          5348503          37269615         35386535             9205024381 
   27462410155    21532383177 25042559454          5429979          37452331         35540159             9179729755 
   27256817976    21548911734 25013904495          5315477          37419799         35538880             9221047732 
   27439526560    21506223603 24993073711          5340081          37319948         35436250             9007258941 
   20248057634    15231566449 17749800123          3549336          27613568         26205507             5669861773 
       4444628        2791298     3390342              262              3181             3044                 354308 
