# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BR_MIS_PRED_RS p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   16298848876    19004669364 20040246259           813252           8272578          8279464            13012223471 
   23503372211    28618602202 29859508460           906844          10811251         10691844            20754977854 
   23146532041    29879044717 30998996902           860060          10679827         10544213            22770609348 
   24221377791    32033562931 33212004250           883669          11900813         11733937            24985301496 
   23117554579    30076607458 31210411862           821439          11020861         10866140            22943994585 
   22939983539    29773659687 30851306263           802388          10225794         10095584            22501803728 
   23088412629    30156718276 31243354469           808598          10510028         10371933            23107713277 
   23302897394    30469155218 31570925863           823667          10499960         10351425            23394874682 
   23384705799    30627545964 31722090010           808375          10503086         10369332            23451217775 
   23216230993    30171843207 31287477621           842468          10640956         10486770            23012268783 
   23489227872    30564841696 31700657050           815572          11419378         11263188            23341801985 
   23912568410    31528375829 32668604293           853241          11462670         11304560            24386798387 
   22393339838    28807031544 29858122595           740201          10045213          9921060            21533677984 
   24119959462    30621276145 31784969394           863788          11513976         11368601            23182910989 
   23339100216    30819357504 31896314620           805251          10690090         10547854            23860678031 
   23428983395    30410265624 31523606842           821730          10798168         10652768            23202458171 
   22667467863    29625308447 30658454025           726378          10349137         10219267            22522982797 
   23469532100    30645847997 31749810577           810766          10576086         10435175            23451063882 
   23610930451    31013250969 32122555862           848390          10522041         10372409            23788351882 
   22867591266    29430054294 30504873331           770506          10187668         10051203            22201047915 
   23017722489    29399858118 30477474454           781848          10481642         10355337            21942713493 
   24503565950    32703919544 33848562173           868279          11711452         11546721            25765552012 
   23684114693    30956106526 32080291564           813055          11185481         11037557            23678546781 
   24104164185    31242219248 32392406413           842235          11591624         11438447            23853662869 
   23901126957    31624051308 32754457479           840162          11141077         10969210            24586572005 
   23391163367    30392887514 31496600748           807669          10858925         10711721            23109336242 
   23661295045    30817125260 31919624070           801520          11010055         10864432            23616579832 
   23352668696    30483152978 31568286523           771153          10759434         10627604            23218661403 
   24095713516    31691130748 32814809274           825307          11545707         11399338            24562144475 
   22637068525    28959985363 29997005595           702710          10058684          9938391            21460181217 
   23356485242    30261999666 31359463037           815516          10858731         10720281            23057694265 
   23810818154    30917685458 32048588886           836029          11048170         10895238            23686093797 
   23035086767    29566807748 30651447053           781234          10568199         10437445            22198077762 
   24121672334    31484458767 32643438981           891219          11410829         11255147            24388084391 
   22906122053    29084747705 30175929195           801748          10347521         10209908            21573860562 
   24200648855    31537246611 32706214653           892530          11701911         11540068            24506056017 
   23899316167    31152382577 32276314132           830689          11576960         11424398            23923396422 
   23635203001    30619564679 31758284666           851775          10715156         10569300            23240662690 
   23576817212    30706408744 31805945254           793050          10989220         10847892            23383347078 
   12234327547    13061977939 13928096391           652126          10646055         10486747             8738998532 
       2195569        1539553     1954758              136              2291             2304                 312712 
