# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/BUS_ACCESS p/L1D_CACHE_REFILL p/L1D_CACHE 
   16564839589    19955635129 21000525665    967908513          170195016  9115030940 
   23819900652    27845699431 29245677117   1814298655          250149003 13148532646 
   23242472559    29078242211 30271428528   1835576779          241406574 13676186932 
   23918241695    30561568665 31823943479   1829771111          234031871 14488751819 
   23449679987    29175399008 30417812394   1852282338          239629085 13744238437 
   23192504380    29117463598 30323700070   1841059390          238430862 13679838637 
   23476493269    29626132320 30863287843   1837016402          234309908 13979820183 
   22561650726    28147589879 29308172661   1818526280          234395369 13215857826 
   23480474972    29978217157 31187893196   1850513901          235849664 14132170221 
   23215677339    29034853472 30280573109   1832525253          234334776 13694770448 
   23543269879    29503537295 30717877127   1876030004          239991020 13886557147 
   23617143222    29741409739 31003835614   1844147466          236609377 14024582901 
   23181011337    28980958289 30191053099   1856143479          238970210 13617654024 
   23263357035    29036498562 30284316494   1850986343          237964392 13660100354 
   24238160594    30706663516 31995916379   1881703035          238789363 14524323121 
   23183513171    28891484101 30118838139   1841600945          238187494 13579060169 
   19331383731    21006914943 22377424815   1580013211          219878403  9735262874 
       2724216        1785107     2314637       133542              25627      616137 
